week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,PenaltyPay_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec,PenaltyPay_prcnt_as_dec
03/14/2017,1501.4717,1226.2724,1238.5596999999998,0.0001,454.14179655,460.36,0,0.0951102767910081,0.07767785925314064,0.07845619460505844,6.334470159577973e-09,0.028767476584631056,0.029161366826633155,0
03/21/2017,1494.6839,1153.0839,1388.4704,0.0,462.1492738999999,457.48999999999995,0,0.09072876983404353,0.06999331682266817,0.08428150684099986,0.0,0.02805291145548797,0.027770088987629137,0
03/28/2017,1498.0251,1104.7039,1288.3707,0.0,445.53091564999994,457.1600000000001,0,0.09385210709486234,0.06921031478772426,0.0807171421321864,0.0,0.027912760079691505,0.02864132869301541,0
04/04/2017,1460.0754,1079.4221,1301.0919999999999,0.0,439.74749774999987,438.3,0,0.09035595312872273,0.0667994356138782,0.08051735394497854,0.0,0.027213529037727842,0.027123951445465883,0
04/11/2017,1491.7654,1087.4661999999998,1297.9292,0.0,443.93491159999996,499.68000000000006,0,0.09046556461633719,0.06594753021097194,0.07871069935663533,0.0,0.026921674434061637,0.03030224010255994,0
04/18/2017,1495.9813,1153.0287,1239.1332,0.0,445.1923964,499.5200000000001,0,0.09024891153987924,0.06955941571545177,0.07475389067559032,0.0,0.026857373953090492,0.03013482607864182,0
04/25/2017,1498.9748,1104.7719,1343.2391,0.0,451.92987409999995,569.8599999999999,0,0.08727629905007554,0.0643242319527454,0.0782087446615876,0.0,0.02631316206357478,0.03317952495043682,0
05/02/2017,1502.5262,1425.7194000000002,1509.3109,0.0,508.10021924999995,574.06,0,0.08434955417617045,0.08003773629392767,0.0847304369988587,0.0,0.028523979795195553,0.03222686238041799,0
05/09/2017,1506.0,1054.3505,1295.6590999999999,0.0,441.51309919999994,468.28999999999996,0,0.08888726250250105,0.06222996657579232,0.07647250367560043,0.0,0.02605902440032084,0.027639452959692043,0
05/16/2017,1402.6901,1121.0965999999999,1273.7568999999999,0.0,434.8187422,466.21999999999997,0,0.0866582378111088,0.06926138266180498,0.07869274072280165,0.0,0.026863115356909415,0.02880308603610672,0
05/23/2017,1494.225,1115.2887,1387.0974,0.0,457.61197095,528.89,0,0.080056459701339,0.05975409651619319,0.07431685797315138,0.0,0.02451758892483327,0.028336469388104996,0
05/30/2017,1580.1185,1034.8555000000001,1308.0154,0.0,449.1822863,456.70000000000005,0,0.0990589789289769,0.06487597554805913,0.08200060308602,0.0,0.02815962134096991,0.028630913236484323,0
