week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Beverage 4316,Catering 4320,Operating Supplies 5220,Fuel Surcharge,Discounts,Delivery Charges,Tax,Invoice Totals,Aprons-Floor Mats 5285
05/06/2014,050514 (1298915),05/06/2014,0,Local SuperMarket,0,0.0,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9.39,0.0
05/06/2014,0723434 (1298923),05/06/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
05/13/2014,0723735 (1302447),05/09/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
05/13/2014,603566507 (1302467),05/08/2014,0,Sysco Food Services,0,534.11,2099.0579,549.13,167.84,112.76,44.85,35.48,7.0,0,0,9.28,3559.5079,0.0
05/13/2014,0723864 (1306161),05/10/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
05/13/2014,0724158 (1306165),05/13/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
05/20/2014,603639166 (1316688),05/15/2014,0,Sysco Food Services,0,552.64,1985.2959,458.6,197.96,291.53,0.0,75.88,7.0,0,0,6.26,3575.1659,0.0
05/20/2014,0724443 (1316690),05/16/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
05/20/2014,0724876 (1316693),05/20/2014,0,Daybreak Fruit & Vegetables,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,2.0,0.0
05/20/2014,051314 (1316697),05/14/2014,0,Local SuperMarket,0,0.0,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,18.78,0.0
