item,week_ending,category,units_of_measure,beginning_units,unit_purchases_1,unit_purchases_2,unit_purchases_3,unit_purchases_4,total_purchased,on_hand_counts,ending_units,unit_cost,ending_value_usd,usage_units
Pam Spray,01/21/2014,Food 4312,ea,0.0,6.0,0.0,0,0,6.0,0,6.0,2.4967,14.9802,0.0
Oregano,01/21/2014,Food 4312,cont oregano,0.0,3.0,0.0,0,0,3.0,0,3.0,20.803,62.409000000000006,0.0
Basil,01/21/2014,Food 4312,cont basil,0.0,6.0,0.0,0,0,6.0,0,6.0,5.0,30.0,0.0
Sugar,01/21/2014,Food 4312,lb,0.0,25.0,0.0,0,0,25.0,0,20.0,0.35710000000000003,7.142,5.0
Mayo Packets,01/21/2014,Food 4312,Box 204,0.0,2.0,0.0,0,0,2.0,0,2.0,20.89,41.78,0.0
Mustard Packets,01/21/2014,Food 4312,Box 500,0.0,2.0,0.0,0,0,2.0,0,2.0,7.59,15.18,0.0
Sweet n Low Packets,01/21/2014,Food 4312,Case  3000,0.0,1.0,0.0,0,0,1.0,0,1.0,18.49,18.49,0.0
Pickles,01/21/2014,Sides 4313,ea,0.0,144.0,0.0,0,0,144.0,0,132.0,0.38389999999999996,50.6748,12.0
Chip JJ Reg ,01/21/2014,Sides 4313,ea,0.0,240.0,0.0,0,0,240.0,0,231.0,0.3813,88.0803,9.0
Chip JJ BBQ ,01/21/2014,Sides 4313,ea,0.0,300.0,0.0,0,0,300.0,0,268.0,0.38130000000000003,102.1884,32.0
Chip JJ Jalapeno ,01/21/2014,Sides 4313,ea,0.0,240.0,0.0,0,0,240.0,0,219.0,0.3813,83.5047,21.0
Chip JJ S&V ,01/21/2014,Sides 4313,ea,0.0,240.0,0.0,0,0,240.0,0,215.0,0.38130000000000003,81.9795,25.0
Chip JJ Skinny ,01/21/2014,Sides 4313,ea,0.0,180.0,0.0,0,0,180.0,0,172.0,0.44899999999999995,77.228,8.0
Cookie Oatmeal Raisin,01/21/2014,Sides 4313,ea,0.0,112.0,0.0,0,0,112.0,0,107.0,0.4963,53.1041,5.0
Cookie JJ Triple Choc Chip,01/21/2014,Sides 4313,ea,0.0,168.0,0.0,0,0,168.0,0,0.0,0.5809,0.0,168.0
Cup Plas 12oz Trans Soft - Paper Cat,01/21/2014,Paper 4314,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
CUP PLAS TRANS 12 OZ - Paper Cat,01/21/2014,Paper 4314,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Cup 22oz JJ,01/21/2014,Paper 4314,ea,0.0,1000.0,0.0,0,0,1000.0,0,920.0,0.0347,31.924000000000003,80.0
Lid 22oz JJ,01/21/2014,Paper 4314,ea,0.0,1000.0,0.0,0,0,1000.0,0,920.0,0.011399999999999999,10.488,80.0
Cup 30oz JJ,01/21/2014,Paper 4314,ea,0.0,750.0,0.0,0,0,750.0,0,710.0,0.0578,41.038,40.0
Lid 30oz JJ,01/21/2014,Paper 4314,ea,0.0,1000.0,0.0,0,0,1000.0,0,986.0,0.0193,19.0298,14.0
Napkins,01/21/2014,Paper 4314,Pack 284,0.0,12.0,0.0,0,0,12.0,0,11.5,2.881704347826087,33.1396,0.5
Bags 8# JJ,01/21/2014,Paper 4314,Box 1000,0.0,1.0,0.0,0,0,1.0,0,0.9,42.92,38.628,0.09999999999999998
Wrap Sandwich,01/21/2014,Paper 4314,Box 1000,0.0,3.0,0.0,0,0,3.0,0,3.0,21.9833,65.9499,0.0
8X10 Port Pap.,01/21/2014,Paper 4314,Box 500,0.0,12.0,0.0,0,0,12.0,0,9.0,2.6342,23.7078,3.0
Straws,01/21/2014,Paper 4314,Box 300,0.0,24.0,0.0,0,0,24.0,0,40.0,1.8825,75.3,-9.6
Pan Liners,01/21/2014,Paper 4314,Box 1000,0.0,1.0,0.0,0,0,1.0,0,1.0,30.27,30.27,0.0
Mylar,01/21/2014,Paper 4314,roll 5280,0.0,1.0,0.0,0,0,1.0,0,1.0,84.64,84.64,0.0
Cucumber,01/21/2014,Produce 4315,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.99,0.0,0.0
Iceburg Head ,01/21/2014,Produce 4315,24 Count,0.0,0.0,0.0,0,0,0.0,0,0.0,22.75,0.0,0.0
Lettuce,01/21/2014,Produce 4315,12 Packs,0.0,0.0,0.0,0,0,0.0,0,0.0,2.27,0.0,0.0
Roma Tomatoes,01/21/2014,Produce 4315,lb,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Yellow Onions,01/21/2014,Produce 4315,lb,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Lettuce,01/21/2014,Produce 4315,Head Let,0.0,72.0,0.0,0,0,72.0,0,64.0,0.5813,37.2032,8.0
Tomatoes,01/21/2014,Produce 4315,lb,0.0,100.0,0.0,0,0,100.0,0,90.0,0.518,46.620000000000005,10.0
Onions,01/21/2014,Produce 4315,lb,0.0,50.0,0.0,0,0,50.0,0,40.0,0.41900000000000004,16.76,10.0
Celery,01/21/2014,Produce 4315,stalk,0.0,6.0,0.0,0,0,6.0,0,6.0,0.983,5.898,0.0
Cucumbers,01/21/2014,Produce 4315,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.78,0.0,0.0
Syrup Coke,01/21/2014,Beverage 4316,gal,0.0,0.0,5.0,0,0,5.0,0,5.0,12.950299999999999,64.7515,0.0
Syrup Diet Coke,01/21/2014,Beverage 4316,gal,0.0,0.0,5.0,0,0,5.0,0,5.0,13.0883,65.4415,0.0
Syrup Sprite,01/21/2014,Beverage 4316,gal,0.0,0.0,5.0,0,0,5.0,0,5.0,13.052699999999998,65.2635,0.0
Syrup Lemonade Light,01/21/2014,Beverage 4316,gal,0.0,0.0,2.5,0,0,2.5,0,2.5,14.1978,35.4945,0.0
Syrup Mello Yellow,01/21/2014,Beverage 4316,gal,0.0,0.0,2.5,0,0,2.5,0,2.5,13.594,33.985,0.0
Syrup Dr. Pepper,01/21/2014,Beverage 4316,gal,0.0,0.0,5.0,0,0,5.0,0,5.0,12.8536,64.268,0.0
Syrup Cherry Coke,01/21/2014,Beverage 4316,gal,0.0,0.0,5.0,0,0,5.0,0,5.0,12.9708,64.854,0.0
Syrup Powerade,01/21/2014,Beverage 4316,gal,0.0,0.0,0.0,0,0,0.0,0,2.5,0.0,0.0,-2.5
Tea Bag Brew Lipton,01/21/2014,Beverage 4316,ea,0.0,24.0,0.0,0,0,24.0,0,21.0,1.1267,23.660700000000002,3.0
Water (bottle),01/21/2014,Beverage 4316,bottle,0.0,96.0,0.0,0,0,96.0,0,90.0,0.28250000000000003,25.425000000000004,6.0
JJ Lunch Box,01/21/2014,Catering 4320,ea,0.0,125.0,0.0,0,0,125.0,0,125.0,0.32339999999999997,40.425,0.0
"Tray Cater Cmbo 12"" w / dome lid",01/21/2014,Catering 4320,each,0.0,25.0,0.0,0,0,25.0,0,25.0,0.956,23.9,0.0
"Tray Cater Cmbo 16"" w / dome lid",01/21/2014,Catering 4320,each,0.0,25.0,0.0,0,0,25.0,0,25.0,1.776,44.4,0.0
Party Tray Bags,01/21/2014,Catering 4320,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.7942,0.0,0.0
Mini Loaf,01/28/2014,Bread 4311,ea,690.0,504.0,0.0,0,0,504.0,0,309.0,0.4231,130.7379,885.0
Wheat,01/28/2014,Bread 4311,ea,40.0,16.0,0.0,0,0,16.0,0,7.0,1.4224999999999999,9.9575,49.0
Avo Fresco,01/28/2014,Food 4312,Case,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0.0
Capicola,01/28/2014,Food 4312,lb,37.75,31.75,0.0,0,0,31.75,0,54.99,3.070900163666121,168.8688,14.509999999999998
Salami,01/28/2014,Food 4312,lb,36.25,37.0,0.0,0,0,37.0,0,51.99,2.8228005385651085,146.7574,21.259999999999998
Ham,01/28/2014,Food 4312,lb,119.5,41.3,0.0,0,0,41.3,0,89.15,2.301100392596747,205.1431,71.65
Turkey,01/28/2014,Food 4312,lb,139.0,62.35,0.0,0,0,62.35,0,109.25,3.0143999999999997,329.3232,92.1
Beef,01/28/2014,Food 4312,lb,80.5,30.8,0.0,0,0,30.8,0,67.6,4.022,271.8872,43.7
Bacon,01/28/2014,Food 4312,ea,1150.0,600.0,0.0,0,0,600.0,0,675.0,0.1908,128.79,1075.0
Cheese,01/28/2014,Food 4312,lb,98.5,70.41,0.0,0,0,70.41,0,82.06,2.4610004874482088,201.9497,86.85
Mayonnaise,01/28/2014,Food 4312,gal mayo,48.0,8.0,0.0,0,0,8.0,0,47.0,9.2672,435.55840000000006,9.0
Oil,01/28/2014,Food 4312,gal oil,12.0,0.0,0.0,0,0,0.0,0,11.25,8.6,96.75,0.75
Vinegar,01/28/2014,Food 4312,gal vinegar,8.0,0.0,0.0,0,0,0.0,0,7.0,6.6674999999999995,46.6725,1.0
Avocado,01/28/2014,Food 4312,avo can,23.0,12.0,0.0,0,0,12.0,0,27.5,3.245,89.2375,7.5
Peppers Cherry,01/28/2014,Food 4312,Gal Peppers,11.75,12.0,0.0,0,0,12.0,0,21.0,7.67,161.07,2.75
Mustard Dijon,01/28/2014,Food 4312,jar dijon,12.0,0.0,0.0,0,0,0.0,0,10.5,5.671704761904762,59.552899999999994,1.5
Soy Sauce,01/28/2014,Food 4312,gal soy,3.9,0.0,0.0,0,0,0.0,0,3.7,9.547513513513513,35.3258,0.19999999999999973
Tuna,01/28/2014,Food 4312,can tuna,11.5,6.0,0.0,0,0,6.0,0,13.8,10.985601449275363,151.6013,3.6999999999999993
Pam Spray,01/28/2014,Food 4312,ea,6.0,0.0,0.0,0,0,0.0,0,6.0,2.4967,14.9802,0.0
Oregano,01/28/2014,Food 4312,cont oregano,3.0,0.0,0.0,0,0,0.0,0,3.0,20.803,62.409000000000006,0.0
Basil,01/28/2014,Food 4312,cont basil,6.0,0.0,0.0,0,0,0.0,0,6.0,5.0,30.0,0.0
Sugar,01/28/2014,Food 4312,lb,20.0,25.0,0.0,0,0,25.0,0,26.0,0.3495,9.087,19.0
Mayo Packets,01/28/2014,Food 4312,Box 204,2.0,0.0,0.0,0,0,0.0,0,1.8,20.889999999999997,37.602,0.19999999999999996
Mustard Packets,01/28/2014,Food 4312,Box 500,2.0,0.0,0.0,0,0,0.0,0,1.8,7.59,13.662,0.19999999999999996
Sweet n Low Packets,01/28/2014,Food 4312,Case  3000,1.0,0.0,0.0,0,0,0.0,0,1.0,18.49,18.49,0.0
Pickles,01/28/2014,Sides 4313,ea,132.0,72.0,0.0,0,0,72.0,0,132.0,0.38389999999999996,50.6748,72.0
Chip JJ Reg ,01/28/2014,Sides 4313,ea,231.0,60.0,0.0,0,0,60.0,0,170.0,0.3697,62.849,121.0
Chip JJ BBQ ,01/28/2014,Sides 4313,ea,268.0,120.0,0.0,0,0,120.0,0,162.0,0.37729999999999997,61.12259999999999,226.0
Chip JJ Jalapeno ,01/28/2014,Sides 4313,ea,219.0,0.0,0.0,0,0,0.0,0,58.0,0.38130000000000003,22.1154,161.0
Chip JJ S&V ,01/28/2014,Sides 4313,ea,215.0,0.0,0.0,0,0,0.0,0,50.0,0.38130000000000003,19.065,165.0
Chip JJ Skinny ,01/28/2014,Sides 4313,ea,172.0,0.0,0.0,0,0,0.0,0,107.0,0.449,48.043,65.0
Cookie Oatmeal Raisin,01/28/2014,Sides 4313,ea,107.0,0.0,0.0,0,0,0.0,0,82.0,0.49629999999999996,40.6966,25.0
Cookie JJ Triple Choc Chip,01/28/2014,Sides 4313,ea,151.0,56.0,0.0,0,0,56.0,0,133.0,0.5701,75.8233,74.0
Cup Plas 12oz Trans Soft - Paper Cat,01/28/2014,Paper 4314,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
CUP PLAS TRANS 12 OZ - Paper Cat,01/28/2014,Paper 4314,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Cup 22oz JJ,01/28/2014,Paper 4314,ea,920.0,0.0,0.0,0,0,0.0,0,364.0,0.0347,12.6308,556.0
Lid 22oz JJ,01/28/2014,Paper 4314,ea,920.0,0.0,0.0,0,0,0.0,0,477.0,0.0114,5.4378,443.0
Cup 30oz JJ,01/28/2014,Paper 4314,ea,710.0,0.0,0.0,0,0,0.0,0,573.0,0.0578,33.1194,137.0
Lid 30oz JJ,01/28/2014,Paper 4314,ea,986.0,0.0,0.0,0,0,0.0,0,852.0,0.0193,16.4436,134.0
Napkins,01/28/2014,Paper 4314,Pack 284,11.5,0.0,0.0,0,0,0.0,0,8.0,2.8817,23.0536,3.5
Bags 8# JJ,01/28/2014,Paper 4314,Box 1000,0.9,0.0,0.0,0,0,0.0,0,0.8,42.919999999999995,34.336,0.09999999999999998
Wrap Sandwich,01/28/2014,Paper 4314,Box 1000,3.0,0.0,0.0,0,0,0.0,0,1.0,21.9833,21.9833,2.0
8X10 Port Pap.,01/28/2014,Paper 4314,Box 500,9.0,12.0,0.0,0,0,12.0,0,15.0,2.6342,39.513,6.0
Straws,01/28/2014,Paper 4314,Box 300,40.0,0.0,0.0,0,0,0.0,0,22.0,1.8825,41.415,10.8
Pan Liners,01/28/2014,Paper 4314,Box 1000,1.0,0.0,0.0,0,0,0.0,0,1.0,30.27,30.27,0.0
Mylar,01/28/2014,Paper 4314,roll 5280,1.0,0.0,0.0,0,0,0.0,0,0.8,84.64,67.712,0.19999999999999996
Cucumber,01/28/2014,Produce 4315,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.99,0.0,0.0
Iceburg Head ,01/28/2014,Produce 4315,24 Count,0.0,0.0,0.0,0,0,0.0,0,0.0,22.75,0.0,0.0
Lettuce,01/28/2014,Produce 4315,12 Packs,0.0,0.0,0.0,0,0,0.0,0,0.0,2.27,0.0,0.0
Roma Tomatoes,01/28/2014,Produce 4315,lb,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Yellow Onions,01/28/2014,Produce 4315,lb,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Lettuce,01/28/2014,Produce 4315,Head Let,64.0,144.0,0.0,0,0,144.0,0,88.0,0.5588,49.1744,120.0
Tomatoes,01/28/2014,Produce 4315,lb,90.0,150.0,0.0,0,0,150.0,0,115.0,0.518,59.57,125.0
Onions,01/28/2014,Produce 4315,lb,40.0,50.0,0.0,0,0,50.0,0,60.0,0.419,25.14,30.0
Celery,01/28/2014,Produce 4315,stalk,6.0,3.0,0.0,0,0,3.0,0,4.0,0.983,3.932,5.0
Cucumbers,01/28/2014,Produce 4315,ea,0.0,60.0,0.0,0,0,60.0,0,12.0,0.9496000000000001,11.3952,48.0
Syrup Coke,01/28/2014,Beverage 4316,gal,5.0,5.0,0.0,0,0,5.0,0,7.0,13.1463,92.0241,3.0
Syrup Diet Coke,01/28/2014,Beverage 4316,gal,5.0,5.0,0.0,0,0,5.0,0,7.5,13.180106666666667,98.8508,2.5
Syrup Sprite,01/28/2014,Beverage 4316,gal,5.0,0.0,0.0,0,0,0.0,0,4.0,13.1314,52.5256,1.0
Syrup Lemonade Light,01/28/2014,Beverage 4316,gal,2.5,2.5,0.0,0,0,2.5,0,3.5,14.304514285714287,50.0658,1.5
Syrup Mello Yellow,01/28/2014,Beverage 4316,gal,2.5,2.5,0.0,0,0,2.5,0,4.5,13.733511111111111,61.8008,0.5
Syrup Dr. Pepper,01/28/2014,Beverage 4316,gal,5.0,5.0,0.0,0,0,5.0,0,7.0,12.9261,90.4827,3.0
Syrup Cherry Coke,01/28/2014,Beverage 4316,gal,5.0,5.0,0.0,0,0,5.0,0,5.5,13.1502,72.3261,4.5
Syrup Powerade,01/28/2014,Beverage 4316,gal,2.5,2.5,0.0,0,0,2.5,0,4.5,6.89,31.005,0.5
Tea Bag Brew Lipton,01/28/2014,Beverage 4316,ea,21.0,24.0,0.0,0,0,24.0,0,27.0,1.0387,28.0449,18.0
Water (bottle),01/28/2014,Beverage 4316,bottle,90.0,24.0,0.0,0,0,24.0,0,94.0,0.2825,26.554999999999996,20.0
JJ Lunch Box,01/28/2014,Catering 4320,ea,125.0,0.0,0.0,0,0,0.0,0,121.0,0.3234,39.1314,4.0
"Tray Cater Cmbo 12"" w / dome lid",01/28/2014,Catering 4320,each,25.0,0.0,0.0,0,0,0.0,0,25.0,0.956,23.9,0.0
"Tray Cater Cmbo 16"" w / dome lid",01/28/2014,Catering 4320,each,25.0,0.0,0.0,0,0,0.0,0,25.0,1.776,44.4,0.0
Party Tray Bags,01/28/2014,Catering 4320,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.7942,0.0,0.0
Mini Loaf,02/04/2014,Bread 4311,ea,309.0,882.0,0.0,0,0,882.0,0,342.0,0.4231,144.7002,849.0
Wheat,02/04/2014,Bread 4311,ea,7.0,80.0,0.0,0,0,80.0,0,48.0,1.4225,68.28,39.0
Avo Fresco,02/04/2014,Food 4312,Case,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0.0
Capicola,02/04/2014,Food 4312,lb,54.99,0.0,0.0,0,0,0.0,0,25.425,3.0708987217305803,78.0776,29.565
Salami,02/04/2014,Food 4312,lb,51.99,0.0,0.0,0,0,0.0,0,26.925,2.822800371402043,76.0039,25.065
Ham,02/04/2014,Food 4312,lb,89.15,82.7,0.0,0,0,82.7,0,83.5,2.301100598802395,192.1419,88.35000000000002
Turkey,02/04/2014,Food 4312,lb,109.25,83.95,0.0,0,0,83.95,0,92.5,3.0143999999999997,278.832,100.69999999999999
Beef,02/04/2014,Food 4312,lb,67.6,53.9,0.0,0,0,53.9,0,71.56,4.021999720514254,287.8143,49.94
Bacon,02/04/2014,Food 4312,ea,675.0,1200.0,0.0,0,0,1200.0,0,760.0,0.19080000000000003,145.008,1115.0
Cheese,02/04/2014,Food 4312,lb,82.06,69.38,0.0,0,0,69.38,0,48.54,2.4609991759373715,119.4569,102.9
Mayonnaise,02/04/2014,Food 4312,gal mayo,47.0,8.0,0.0,0,0,8.0,0,45.5,9.2672,421.65760000000006,9.5
Oil,02/04/2014,Food 4312,gal oil,11.25,0.0,0.0,0,0,0.0,0,10.2,8.6,87.71999999999998,1.0500000000000007
Vinegar,02/04/2014,Food 4312,gal vinegar,7.0,4.0,0.0,0,0,4.0,0,10.2,6.6675,68.0085,0.8000000000000007
Avocado,02/04/2014,Food 4312,avo can,27.5,0.0,0.0,0,0,0.0,0,19.0,3.245,61.655,8.5
Peppers Cherry,02/04/2014,Food 4312,Gal Peppers,21.0,4.0,0.0,0,0,4.0,0,22.2,7.67,170.274,2.8000000000000007
Mustard Dijon,02/04/2014,Food 4312,jar dijon,10.5,6.0,0.0,0,0,6.0,0,14.9,5.671697986577182,84.5083,1.5999999999999996
Soy Sauce,02/04/2014,Food 4312,gal soy,3.7,0.0,0.0,0,0,0.0,0,3.5,9.547514285714286,33.4163,0.20000000000000018
Tuna,02/04/2014,Food 4312,can tuna,13.8,6.0,0.0,0,0,6.0,0,14.6,10.985602739726028,160.3898,5.200000000000001
Pam Spray,02/04/2014,Food 4312,ea,6.0,0.0,0.0,0,0,0.0,0,6.0,2.4967,14.9802,0.0
Oregano,02/04/2014,Food 4312,cont oregano,3.0,0.0,0.0,0,0,0.0,0,2.8,20.803,58.2484,0.20000000000000018
Basil,02/04/2014,Food 4312,cont basil,6.0,0.0,0.0,0,0,0.0,0,5.8,5.0,29.0,0.20000000000000018
Sugar,02/04/2014,Food 4312,lb,26.0,0.0,0.0,0,0,0.0,0,5.0,0.34950000000000003,1.7475,21.0
Mayo Packets,02/04/2014,Food 4312,Box 204,1.8,0.0,0.0,0,0,0.0,0,1.8,20.889999999999997,37.602,0.0
Mustard Packets,02/04/2014,Food 4312,Box 500,1.8,0.0,0.0,0,0,0.0,0,1.8,7.59,13.662,0.0
Sweet n Low Packets,02/04/2014,Food 4312,Case  3000,1.0,0.0,0.0,0,0,0.0,0,0.8,18.49,14.792,0.19999999999999996
Pickles,02/04/2014,Sides 4313,ea,132.0,72.0,0.0,0,0,72.0,0,113.0,0.38389999999999996,43.3807,91.0
Chip JJ Reg ,02/04/2014,Sides 4313,ea,170.0,60.0,0.0,0,0,60.0,0,75.0,0.3697,27.7275,155.0
Chip JJ BBQ ,02/04/2014,Sides 4313,ea,162.0,300.0,0.0,0,0,300.0,0,220.0,0.3773,83.006,242.0
Chip JJ Jalapeno ,02/04/2014,Sides 4313,ea,58.0,240.0,0.0,0,0,240.0,0,152.0,0.3813,57.9576,146.0
Chip JJ S&V ,02/04/2014,Sides 4313,ea,50.0,180.0,0.0,0,0,180.0,0,64.0,0.3813,24.4032,166.0
Chip JJ Skinny ,02/04/2014,Sides 4313,ea,107.0,120.0,0.0,0,0,120.0,0,173.0,0.44900000000000007,77.677,54.0
Cookie Oatmeal Raisin,02/04/2014,Sides 4313,ea,82.0,56.0,0.0,0,0,56.0,0,95.0,0.49629999999999996,47.1485,43.0
Cookie JJ Triple Choc Chip,02/04/2014,Sides 4313,ea,133.0,56.0,0.0,0,0,56.0,0,94.0,0.5700999999999999,53.5894,95.0
Cup Plas 12oz Trans Soft - Paper Cat,02/04/2014,Paper 4314,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
CUP PLAS TRANS 12 OZ - Paper Cat,02/04/2014,Paper 4314,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Cup 22oz JJ,02/04/2014,Paper 4314,ea,364.0,1000.0,0.0,0,0,1000.0,0,754.0,0.034699999999999995,26.163799999999995,610.0
Lid 22oz JJ,02/04/2014,Paper 4314,ea,477.0,1000.0,0.0,0,0,1000.0,0,879.0,0.0114,10.0206,598.0
Cup 30oz JJ,02/04/2014,Paper 4314,ea,573.0,750.0,0.0,0,0,750.0,0,1132.0,0.0578,65.4296,191.0
Lid 30oz JJ,02/04/2014,Paper 4314,ea,852.0,1000.0,0.0,0,0,1000.0,0,1576.0,0.019299999999999998,30.416799999999995,276.0
Napkins,02/04/2014,Paper 4314,Pack 284,8.0,0.0,0.0,0,0,0.0,0,4.0,2.8817,11.5268,4.0
Bags 8# JJ,02/04/2014,Paper 4314,Box 1000,0.8,0.0,0.0,0,0,0.0,0,0.4,42.919999999999995,17.168,0.4
Wrap Sandwich,02/04/2014,Paper 4314,Box 1000,1.0,3.0,0.0,0,0,3.0,0,2.0,21.9833,43.9666,2.0
8X10 Port Pap.,02/04/2014,Paper 4314,Box 500,15.0,0.0,0.0,0,0,0.0,0,7.5,2.6342,19.7565,7.5
Straws,02/04/2014,Paper 4314,Box 300,22.0,0.0,0.0,0,0,0.0,0,19.5,1.8825025641025621,36.7088,1.5
Pan Liners,02/04/2014,Paper 4314,Box 1000,1.0,0.0,0.0,0,0,0.0,0,1.0,30.27,30.27,0.0
Mylar,02/04/2014,Paper 4314,roll 5280,0.8,1.0,0.0,0,0,1.0,0,1.5,84.64,126.96000000000001,0.30000000000000004
Cucumber,02/04/2014,Produce 4315,ea,0.0,0.0,0.0,0,0,0.0,0,0.0,0.99,0.0,0.0
Iceburg Head ,02/04/2014,Produce 4315,24 Count,0.0,0.0,0.0,0,0,0.0,0,0.0,22.75,0.0,0.0
Lettuce,02/04/2014,Produce 4315,12 Packs,0.0,0.0,0.0,0,0,0.0,0,0.0,2.27,0.0,0.0
Roma Tomatoes,02/04/2014,Produce 4315,lb,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Yellow Onions,02/04/2014,Produce 4315,lb,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
Lettuce,02/04/2014,Produce 4315,Head Let,88.0,120.0,0.0,0,0,120.0,0,95.0,0.545,51.775000000000006,113.0
Tomatoes,02/04/2014,Produce 4315,lb,115.0,150.0,0.0,0,0,150.0,0,122.5,0.5671004081632653,69.4698,142.5
Onions,02/04/2014,Produce 4315,lb,60.0,0.0,0.0,0,0,0.0,0,20.0,0.41900000000000004,8.38,40.0
Celery,02/04/2014,Produce 4315,stalk,4.0,6.0,0.0,0,0,6.0,0,5.0,0.5900000000000001,2.95,5.0
Cucumbers,02/04/2014,Produce 4315,ea,12.0,36.0,0.0,0,0,36.0,0,12.0,0.7879,9.4548,36.0
Syrup Coke,02/04/2014,Beverage 4316,gal,7.0,0.0,0.0,0,0,0.0,0,5.0,13.1463,65.7315,2.0
Syrup Diet Coke,02/04/2014,Beverage 4316,gal,7.5,0.0,0.0,0,0,0.0,0,5.0,13.1801,65.9005,2.5
Syrup Sprite,02/04/2014,Beverage 4316,gal,4.0,0.0,0.0,0,0,0.0,0,2.5,13.1314,32.8285,1.5
Syrup Lemonade Light,02/04/2014,Beverage 4316,gal,3.5,0.0,0.0,0,0,0.0,0,3.0,14.304499999999999,42.9135,0.5
Syrup Mello Yellow,02/04/2014,Beverage 4316,gal,4.5,0.0,0.0,0,0,0.0,0,3.0,13.7335,41.2005,1.5
Syrup Dr. Pepper,02/04/2014,Beverage 4316,gal,7.0,0.0,0.0,0,0,0.0,0,3.0,12.9261,38.7783,4.0
Syrup Cherry Coke,02/04/2014,Beverage 4316,gal,5.5,0.0,0.0,0,0,0.0,0,2.5,13.150200000000002,32.8755,3.0
