week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Office Supplies 5230,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Operating Supplies 5220
03/12/2019,0.031757811544044626,0.11307121613945692,0.02752660091733075,0.011392888561444547,0.026146541075731954,0.014844915460539456,0.0001598759890414912,0,0.22489984968758978,0.22499645149365713,31.06,1539.6739,1277.0327,837.2215,418.3748,304.51,0.0,4376.8129,300.0,0.0,34.35,0.0,334.35,4711.1629,128.25,269.66,197.64,0.0,595.55,0
03/19/2019,0.03433399412753353,0.13074072047518034,0.031957848674923996,0.018930615130141465,0.0245262578812833,0.018828804514597234,0.0016549160648411413,0,0.2609731568685011,0.26108406973313636,-14.74,1436.3381,1580.8269,919.5611,450.7551,304.42,0.0,4691.9012,200.0,0.0,22.9,0.0,222.9,4914.8012,85.27,260.16,164.49,0.0,509.92,0
03/26/2019,0.0511177708039212,0.13024796425134808,0.02881321016665809,-0.027647144283909655,0.022740376001912782,0.015404840192346402,0.0015601662346190952,0,0.22223718336689596,0.22569008931299545,69.34,1366.6668,1660.0217,1017.3361,463.0408,290.73,0.0,4797.795400000001,0.0,0.0,0.0,0.0,0.0,4797.795400000001,99.93,249.58,304.14,0.0,653.65,0
04/02/2019,0.01495622577753532,0.10932729242001538,0.03287512297431674,0.03132373328178232,0.024620788915826638,0.016046344269827165,0.0014565985072275119,0,0.23060610614653096,0.2307054124588374,112.0,1499.6666,1675.9194,900.4878,466.7105,294.01,0.0,4836.7943000000005,0.0,0.0,0.0,0.0,0.0,4836.7943000000005,76.41,202.18,167.45,0.0,446.04,0
04/09/2019,0.032473831791026024,0.11901919093090509,0.029752502036064304,0.02176690753261803,0.01871609064722248,0.0063835125252116815,0.0026296248722335503,0,0.23074166033528115,0.2308783089461114,1.64,1500.0,1938.9769,1154.7566,525.9825,310.81,0.0,5430.526,0.0,0.0,0.0,0.0,0.0,5430.526,52.98,249.72,60.67,0.0,363.37,0
04/16/2019,0.036669140321407986,0.13297122943744638,0.02899385048476231,0.019389554061652735,0.017336081573301725,0.014034676532633251,0.004036309717809954,0,0.25343084212901446,0.2535741039866193,-33.01,1484.8333,1632.607,1311.3479,507.0962,289.53,0.0,5225.4144,0.0,0.0,0.0,0.0,0.0,5225.4144,146.92,172.15,34.01,0.0,353.08,0
04/23/2019,0.030747950407384938,0.11671155327897573,0.0223056482465383,-4.492635475798912e-05,0.020411975194750416,0.01642097387877858,0.0001878501371859651,0,0.20674102478885586,0.20689005897282664,-37.14,1492.6667,1606.8655,1194.7088,491.6906,281.77,0.0,5067.7016,0.0,0.0,0.0,0.0,0.0,5067.7016,60.55,224.12,69.71,0.0,354.38,0
04/30/2019,0.040750734479208336,0.1319931847543101,0.031119761097521802,0.01544204827889225,0.015283061401150246,0.006121515322416707,0.0016656857215930343,0,0.24237599105509247,0.24253993730695328,-5.41,1581.7158,1424.6595,1080.6877,467.9687,251.33,0.0,4806.3616999999995,0.0,0.0,0.0,0.0,0.0,4806.3616999999995,77.31,78.31,151.89,0.0,307.51,0
05/07/2019,0.0003280951965852637,0.000700248658823204,0.007098197334341955,0.03302066542460378,0.00452146104418976,0.006606745258417536,-0.002210064255331094,0,0.05006534866163035,0.05006534866163035,9.09,1306.1756,1597.8925,1208.276,470.8634,297.84,0.0,4881.047500000001,0.0,0.0,0.0,0.0,0.0,4881.047500000001,60.34,103.72,157.17,0.0,321.23,0
05/14/2019,0.03239911490403116,0.12807336611517367,0.033639868003821884,-0.011151022586271828,0.01989720979394631,0.016671506892348763,0.008688221103886973,0,0.22821826422693697,0.22835544587120987,-17.69,1423.2041,1801.8453,684.8973,447.6889,311.51,0.0,4669.1456,600.0,0.0,68.7,0.0,668.7,5337.8456,31.02,35.82,332.53,0.0,399.37,0
