week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
04/23/2019,Royalty,6,Payment,783.9216
04/23/2019,Advertising,1.5,Payment,195.9804
04/23/2019,Media,3,Payment,391.9608
04/30/2019,Royalty,6,Payment,713.4966
04/30/2019,Advertising,1.5,Payment,178.37415
04/30/2019,Media,3,Payment,356.7483
05/07/2019,Royalty,6,Payment,792.9234
05/07/2019,Advertising,1.5,Payment,198.23085
05/07/2019,Media,3,Payment,396.4617
05/14/2019,Royalty,6,Payment,850.7904
05/14/2019,Advertising,1.5,Payment,212.6976
05/14/2019,Media,3,Payment,425.3952
05/21/2019,Royalty,6,Payment,911.3706
05/21/2019,Advertising,1.5,Payment,227.84265
05/21/2019,Media,3,Payment,455.6853
05/28/2019,Royalty,6,Payment,851.0046
05/28/2019,Advertising,1.5,Payment,212.75115
05/28/2019,Media,3,Payment,425.5023
06/04/2019,Royalty,6,Payment,948.1416
06/04/2019,Advertising,1.5,Payment,237.0354
06/04/2019,Media,3,Payment,474.0708
06/11/2019,Royalty,6,Payment,852.0
06/11/2019,Advertising,1.5,Payment,213.0
06/11/2019,Media,3,Payment,426.0
06/18/2019,Royalty,6,Payment,800.5632
06/18/2019,Advertising,1.5,Payment,200.1408
06/18/2019,Media,3,Payment,400.2816
06/25/2019,Royalty,6,Payment,891.1914
06/25/2019,Advertising,1.5,Payment,222.79785
06/25/2019,Media,3,Payment,445.5957
07/02/2019,Royalty,6,Payment,852.2856
07/02/2019,Advertising,1.5,Payment,213.0714
07/02/2019,Media,3,Payment,426.1428
07/09/2019,Royalty,6,Payment,794.4402
07/09/2019,Advertising,1.5,Payment,198.61005
07/09/2019,Media,3,Payment,397.2201
07/16/2019,Royalty,6,Payment,809.5548
07/16/2019,Advertising,1.5,Payment,202.3887
07/16/2019,Media,3,Payment,404.7774
07/23/2019,Royalty,6,Payment,786.0462
07/23/2019,Advertising,1.5,Payment,196.51155
07/23/2019,Media,3,Payment,393.0231
07/30/2019,Royalty,6,Payment,790.062
07/30/2019,Advertising,1.5,Payment,197.5155
07/30/2019,Media,3,Payment,395.031
08/06/2019,Royalty,6,Payment,817.1106
08/06/2019,Advertising,1.5,Payment,204.27765
08/06/2019,Media,3,Payment,408.5553
08/13/2019,Royalty,6,Payment,850.5504
08/13/2019,Advertising,1.5,Payment,212.6376
08/13/2019,Media,3,Payment,425.2752
08/13/2019,Royalty,6,Payment,850.5504
08/13/2019,Advertising,1.5,Payment,212.6376
08/13/2019,Media,3,Payment,425.2752
08/27/2019,Royalty,6,Payment,734.4288
08/27/2019,Advertising,1.5,Payment,183.6072
08/27/2019,Media,3,Payment,367.2144
09/03/2019,Royalty,6,Payment,681.0642
09/03/2019,Advertising,1.5,Payment,170.26605
09/03/2019,Media,3,Payment,340.5321
09/10/2019,Royalty,6,Payment,717.7878
09/10/2019,Advertising,1.5,Payment,179.44695
09/10/2019,Media,3,Payment,358.8939
09/17/2019,Royalty,6,Payment,762.0972
09/17/2019,Advertising,1.5,Payment,190.5243
09/17/2019,Media,3,Payment,381.0486
09/24/2019,Royalty,6,Payment,708.1056
09/24/2019,Advertising,1.5,Payment,177.0264
09/24/2019,Media,3,Payment,354.0528
10/01/2019,Royalty,6,Payment,703.3338
10/01/2019,Advertising,1.5,Payment,175.83345
10/01/2019,Media,3,Payment,351.6669
10/08/2019,Royalty,6,Payment,691.2438
10/08/2019,Advertising,1.5,Payment,172.81095
10/08/2019,Media,3,Payment,345.6219
10/15/2019,Royalty,6,Payment,716.5584
10/15/2019,Advertising,1.5,Payment,179.1396
10/15/2019,Media,3,Payment,358.2792
10/22/2019,Royalty,6,Payment,785.3628
10/22/2019,Advertising,1.5,Payment,196.3407
10/22/2019,Media,3,Payment,392.6814
10/08/2019,Royalty,6,Payment,691.2438
10/08/2019,Advertising,1.5,Payment,172.81095
10/08/2019,Media,3,Payment,345.6219
11/05/2019,Royalty,6,Payment,682.6032
11/05/2019,Advertising,1.5,Payment,170.6508
11/05/2019,Media,3,Payment,341.3016
11/12/2019,Royalty,6,Payment,668.9922
11/12/2019,Advertising,1.5,Payment,167.24805
11/12/2019,Media,3,Payment,334.4961
11/19/2019,Royalty,6,Payment,747.9594
11/19/2019,Advertising,1.5,Payment,186.98985
11/19/2019,Media,3,Payment,373.9797
11/26/2019,Royalty,6,Payment,747.0762
11/26/2019,Advertising,1.5,Payment,186.76905
11/26/2019,Media,3,Payment,373.5381
12/03/2019,Royalty,6,Payment,583.6968
12/03/2019,Advertising,1.5,Payment,145.9242
12/03/2019,Media,3,Payment,291.8484
12/10/2019,Royalty,6,Payment,816.354
12/10/2019,Advertising,1.5,Payment,204.0885
12/10/2019,Media,3,Payment,408.177
12/17/2019,Royalty,6,Payment,763.4982
12/17/2019,Advertising,1.5,Payment,190.87455
12/17/2019,Media,3,Payment,381.7491
12/24/2019,Royalty,6,Payment,790.689
12/24/2019,Advertising,1.5,Payment,197.67225
12/24/2019,Media,3,Payment,395.3445
12/31/2019,Royalty,6,Payment,614.193
12/31/2019,Advertising,1.5,Payment,153.54825
12/31/2019,Media,3,Payment,307.0965
