week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Produce 4315,Discounts,Delivery Charges,Invoice Totals
11/08/2016,110816 (2905909),11/08/2016,0,Hardie's,0,185.55,0,0,185.55
11/08/2016,110516 (2905937),11/05/2016,0,Hardie's,0,211.34,0,0,211.34
11/15/2016,111216 (2914843),11/12/2016,0,Hardie's,0,52.04,0,0,52.04
11/15/2016,111116 (2914844),11/11/2016,0,Hardie's,0,164.55,0,0,164.55
11/15/2016,111516 (2919058),11/15/2016,0,Hardie's,0,185.42,0,0,185.42
11/22/2016,111716 (2927295),11/17/2016,0,Hardie's,0,130.64,0,0,130.64
11/22/2016,112116 (2933689),11/21/2016,0,Hardie's,0,233.14,0,0,233.14
11/29/2016,112316 (2938540),11/23/2016,0,Hardie's,0,118.56,0,0,118.56
11/29/2016,112616 (2940713),11/26/2016,0,Hardie's,0,118.6,0,0,118.6
11/29/2016,112916 (2945481),11/29/2016,0,Hardie's,0,173.89,0,0,173.89
12/06/2016,120216 (2951305),12/02/2016,0,Hardie's,0,189.58,0,0,189.58
12/06/2016,120516 (2956918),12/05/2016,0,Hardie's,0,192.81,0,0,192.81
12/13/2016,120716 (2962609),12/07/2016,0,Hardie's,0,184.83,0,0,184.83
12/13/2016,121016 (2966051),12/10/2016,0,Hardie's,0,123.68,0,0,123.68
12/13/2016,121316 (2970737),12/13/2016,0,Hardie's,0,170.66,0,0,170.66
12/20/2016,121616 (2979506),12/16/2016,0,Hardie's,0,178.82,0,0,178.82
12/20/2016,122016 (2983856),12/20/2016,0,Hardie's,0,185.08,0,0,185.08
12/27/2016,122216 (2991624),12/22/2016,0,Hardie's,0,207.08,0,0,207.08
