week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
07/05/2016,Royalty,6,Payment,802.7472
07/05/2016,Advertising,1.5,Payment,200.6868
07/05/2016,Media,3,Payment,401.3736
07/12/2016,Royalty,6,Payment,919.644
07/12/2016,Advertising,1.5,Payment,229.911
07/12/2016,Media,3,Payment,459.822
07/19/2016,Royalty,6,Payment,971.5782
07/19/2016,Advertising,1.5,Payment,242.89455
07/19/2016,Media,3,Payment,485.7891
07/26/2016,Royalty,6,Payment,947.7336
07/26/2016,Advertising,1.5,Payment,236.9334
07/26/2016,Media,3,Payment,473.8668
08/02/2016,Royalty,6,Payment,930.6804
08/02/2016,Advertising,1.5,Payment,232.6701
08/02/2016,Media,3,Payment,465.3402
08/09/2016,Royalty,6,Payment,922.2324
08/09/2016,Advertising,1.5,Payment,230.5581
08/09/2016,Media,3,Payment,461.1162
08/16/2016,Royalty,6,Payment,948.3768
08/16/2016,Advertising,1.5,Payment,237.0942
08/16/2016,Media,3,Payment,474.1884
08/23/2016,Royalty,6,Payment,850.473
08/23/2016,Advertising,1.5,Payment,212.61825
08/23/2016,Media,3,Payment,425.2365
08/30/2016,Royalty,6,Payment,881.5458
08/30/2016,Advertising,1.5,Payment,220.38645
08/30/2016,Media,3,Payment,440.7729
09/06/2016,Royalty,6,Payment,856.1094
09/06/2016,Advertising,1.5,Payment,214.02735
09/06/2016,Media,3,Payment,428.0547
09/13/2016,Royalty,6,Payment,871.7832
09/13/2016,Advertising,1.5,Payment,217.9458
09/13/2016,Media,3,Payment,435.8916
09/20/2016,Royalty,6,Payment,939.3144
09/20/2016,Advertising,1.5,Payment,234.8286
09/20/2016,Media,3,Payment,469.6572
09/27/2016,Royalty,6,Payment,870.4512
09/27/2016,Advertising,1.5,Payment,217.6128
09/27/2016,Media,3,Payment,435.2256
10/04/2016,Royalty,6,Payment,865.6986
10/04/2016,Advertising,1.5,Payment,216.42465
10/04/2016,Media,3,Payment,432.8493
10/11/2016,Royalty,6,Payment,868.9338
10/11/2016,Advertising,1.5,Payment,217.23345
10/11/2016,Media,3,Payment,434.4669
10/18/2016,Royalty,6,Payment,882.7104
10/18/2016,Advertising,1.5,Payment,220.6776
10/18/2016,Media,3,Payment,441.3552
10/25/2016,Royalty,6,Payment,830.2698
10/25/2016,Advertising,1.5,Payment,207.56745
10/25/2016,Media,3,Payment,415.1349
11/01/2016,Royalty,6,Payment,856.8114
11/01/2016,Advertising,1.5,Payment,214.20285
11/01/2016,Media,3,Payment,428.4057
11/08/2016,Royalty,6,Payment,792.0516
11/08/2016,Advertising,1.5,Payment,198.0129
11/08/2016,Media,3,Payment,396.0258
11/15/2016,Royalty,6,Payment,858.24
11/15/2016,Advertising,1.5,Payment,214.56
11/15/2016,Media,3,Payment,429.12
11/22/2016,Royalty,6,Payment,866.4396
11/22/2016,Advertising,1.5,Payment,216.6099
11/22/2016,Media,3,Payment,433.2198
11/29/2016,Royalty,6,Payment,576.9666
11/29/2016,Advertising,1.5,Payment,144.24165
11/29/2016,Media,3,Payment,288.4833
12/06/2016,Royalty,6,Payment,901.9596
12/06/2016,Advertising,1.5,Payment,225.4899
12/06/2016,Media,3,Payment,450.9798
12/13/2016,Royalty,6,Payment,787.9158
12/13/2016,Advertising,1.5,Payment,196.97895
12/13/2016,Media,3,Payment,393.9579
12/20/2016,Royalty,6,Payment,878.2218
12/20/2016,Advertising,1.5,Payment,219.55545
12/20/2016,Media,3,Payment,439.1109
12/27/2016,Royalty,6,Payment,703.1328
12/27/2016,Advertising,1.5,Payment,175.7832
12/27/2016,Media,3,Payment,351.5664
