week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
09/06/2016,0.03478351851063815,0.1187094124648001,0.03180388970281795,0.010192134540785273,0.02812136391545134,0.015941594341808328,0.00040653223665680145,0.2399584457129578,0.2399584457129578,-23.91,1477.5985,971.327,1281.3754,427.1195,409.08,0.0,4566.5004,260.0,0.0,29.77,0.0,289.77,4856.270399999999,100.4,141.44,294.4,0.0,536.24
09/13/2016,0.033331248869067256,0.11779217314713299,0.030771262866023056,0.01058246362388104,0.028964444805160246,0.013381848130368603,0.0006626800178820382,0.23548612145951534,0.23548612145951534,-8.91,1516.3525,906.8605,1238.3033,419.2436,380.59,0.0,4461.3499,0.0,0.0,0.0,0.0,0.0,4461.3499,85.14,164.03,236.25,16.7,502.12
09/20/2016,0.03179306852287198,0.11894620918553528,0.02991039001660754,0.011139360622000893,0.03470348460513021,0.01328036834488082,0.0005814874301502634,0.24035436872717703,0.24035436872717703,-3.03,1520.9816,760.5659,1253.6261,404.7774,402.67,0.0,4342.621,0.0,0.0,0.0,0.0,0.0,4342.621,82.18,138.49,237.25,0.0,457.92
09/27/2016,0.03242756182313944,0.11495906593072677,0.032629186761184606,0.010938161329661742,0.0345725084035713,0.016463646197831344,0.000821652515534284,0.2428117829616494,0.2428117829616494,-2.01,1504.4656,894.0641,1174.221,409.08,403.58,0.0,4385.4107,0.0,0.0,0.0,0.0,0.0,4385.4107,100.55,101.1,84.56,15.45,301.65999999999997
10/04/2016,0.03280315073504304,0.11403905488767614,0.03201593353947852,0.011368503333236421,0.03152878538203914,0.016117535210458094,-0.00015555554052930514,0.23771740754740206,0.23771740754740206,1.82,1465.7328,986.9728,951.8072,389.8167,404.75,0.0,4199.0795,0.0,0.0,0.0,0.0,0.0,4199.0795,110.15,122.47,128.0,0.0,360.62
10/11/2016,0.032603437492885426,0.12034470013003758,0.030532993530260195,0.010700361721531998,0.030516641734977708,0.01620435458620315,0.0016429067894100369,0.24254539598530608,0.24254539598530608,2.52,1492.993,919.0452,1203.7088,414.003,407.73,0.0,4437.4800000000005,0.0,0.0,0.0,0.0,0.0,4437.4800000000005,110.04,134.42,195.95,11.5,451.90999999999997
10/18/2016,0.033510278184863386,0.11426806369726797,0.033095369255731186,0.01073298963676333,0.03538991678006909,0.012115310635402495,0.0009130770438605689,0.2400250052339581,0.2400250052339581,-6.52,1496.2843,964.5075,1200.9774,419.2726,387.76,0.0,4468.8018,0.0,0.0,0.0,0.0,0.0,4468.8018,112.96,132.09,315.46,12.45,572.96
10/25/2016,0.033200190527092645,0.11490432798352819,0.03240724612195672,0.009949211237221454,0.034649629538345654,0.015566894256078934,0.0009303980714670457,0.24160789773569072,0.24160789773569072,0.25,1515.6464,915.6202,1214.2404,417.4106,410.21,0.0,4473.1276,0.0,0.0,0.0,0.0,0.0,4473.1276,107.19,156.75,336.17,6.2,606.3100000000001
11/01/2016,0.03231693380346112,0.11312258852325938,0.031110992831329527,0.0041608232639084464,0.031894004222359267,0.012116337398647573,0.0015794357092918001,0.2263011157522571,0.2263011157522571,-0.02,1444.8334,924.6426,1182.1423,406.6603,396.96,0.0,4355.2386,100.0,0.0,11.45,0.0,111.45,4466.6885999999995,120.76,62.48,88.0,9.15,280.39
11/08/2016,0.034313762910875886,0.12207195522261226,0.02952661682119147,0.010849867272378964,0.032480861440429575,0.012846334110638524,0.0008250933702445243,0.24291449114837127,0.24291449114837127,-3.29,1509.6152,1058.4882,1255.7054,437.8261,411.72,0.0,4673.3549,0.0,0.0,0.0,0.0,0.0,4673.3549,126.3,162.0,396.42,0.0,684.72
11/15/2016,0.032990080289445216,0.11104392625467582,0.029652687530479747,0.010700325843829265,0.03130893318839275,-0.009281284140723123,0.0011576514724272425,0.20757232043852689,0.20757232043852689,-4.62,1498.5,979.0913,1246.5007,426.4085,385.08,0.0,4535.5805,100.0,0.0,11.45,0.0,111.45,4647.0305,147.32,182.22,25.34,23.0,377.87999999999994
11/22/2016,0.03474815992021015,0.11886913431627325,0.032212734069342906,0.01044210845226853,0.02703897463602247,0.03610334743374138,0.0011856943976181003,0.26060015322547664,0.26060015322547664,-1.7,1526.6222,963.9594,1255.7647,428.9567,385.26,0.0,4560.563,0.0,0.0,0.0,0.0,0.0,4560.563,98.19,149.0,220.84,10.5,478.53
11/29/2016,0.03042454685568418,0.11969858277008041,0.024288866456885064,0.010216618234944692,0.03392567871305409,0.015269618861078556,0.0014559418498241968,0.23527985374155108,0.23527985374155108,-9.27,1215.2556,855.0382,855.2618,334.9761,270.53,0.0,3531.0616999999993,330.0,0.0,37.785,0.0,367.78499999999997,3898.846699999999,74.88,114.33,148.1,12.5,349.80999999999995
12/06/2016,0.0328409518234366,0.11931464603193673,0.028016711443306835,0.010281995913889284,0.03119762974564542,0.01663278373722767,0.0015186065354510804,0.2398033252308937,0.24044945279456634,-0.68,1497.9377,1149.7558,1153.461,435.2322,426.28,0.0,4662.6667,0.0,0.0,0.0,0.0,0.0,4662.6667,98.21,171.2,174.75,0.0,444.15999999999997
12/13/2016,0.04158894472872659,0.11408755599414151,0.03489198367937331,0.01037464973027689,0.02904798522749469,0.017953277522541066,0.0009599804814715606,0.24890437736402563,0.24890437736402563,-7.97,1505.0828,1096.2207,1181.5547,433.1373,432.7,0.0,4648.6955,0.0,0.0,0.0,0.0,0.0,4648.6955,133.51,160.36,321.78,23.95,639.6
12/20/2016,0.03334521505765917,0.11666363308207096,0.030943320718141876,0.011245826051289957,0.02413405563226307,0.015872445855833153,0.00036173668175481805,0.23256623307901297,0.23256623307901297,-11.01,1498.9324,1144.9443,1145.2659,433.8568,401.24,0.0,4624.2394,0.0,0.0,0.0,0.0,0.0,4624.2394,130.28,123.29,141.61,10.5,405.68
12/27/2016,0.035493042861815184,0.11601950588629839,0.029601373663318012,0.010942505034607215,0.02606577612641554,0.01937315197125832,0.0006344933267588765,0.2381298488704716,0.2381298488704716,-0.09,1294.1667,1017.4656,1046.4436,384.4997,321.85,0.0,4064.4256,0.0,100.0,0.0,11.45,111.45,4175.8756,99.8,164.94,63.0,0.0,327.74
