week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies,Office Supplies 5230,Operating Supplies 5220
04/17/2018,0.031675491238394055,0.11393275816787858,0.031142744586932808,0.01078758951556613,0.0188615951361395,0.016306895665473355,0.0021196246771540963,0.22482669898753854,0.22493203207181764,-16.37,1515.9288,1063.8401,1237.1838,437.0411,385.43,0.0,4639.4238000000005,0.0,0.0,0.0,0.0,0.0,4639.4238000000005,35.55,237.29,138.07,20.5,431.40999999999997,0,0
04/24/2018,0.030492362602579582,0.12445323898406234,0.03446639195597378,0.010655952690727798,0.01936749222278752,0.013869530545058639,0.0008707112055294291,0.23417568020671917,0.2342727739954353,2.35,1511.7223,932.3552,1375.0666,437.292,410.16,0.0,4666.5961,0.0,0.0,0.0,0.0,0.0,4666.5961,82.75,211.34,79.2,0.0,373.29,0,0
05/01/2018,0.03150204499606586,0.1287910289512379,0.030923546610392528,0.010738721075935221,0.01825004665585208,0.014301608037521561,0.0016163091085211704,0.23612330543552632,0.23622584576976677,12.74,1504.6667,1135.3575,1184.6128,437.9209,394.68,0.0,4657.2379,0.0,0.0,0.0,0.0,0.0,4657.2379,118.47,214.45,20.06,0.0,352.97999999999996,0,0
05/08/2018,0.029989714324922465,0.11537476041626882,0.031009782719159638,0.011160209908037389,0.022304127151398786,0.01316170259316821,0.0018207263149513844,0.22482102342790672,0.2249504844106321,-12.8,1418.1666,1285.7738,1079.8814,433.2476,391.05,0.0,4608.1194,0.0,0.0,0.0,0.0,0.0,4608.1194,107.71,233.15,267.85,12.87,621.58,0,0
05/15/2018,0.031112250087877946,0.11177455853195063,0.03013881770284096,0.013383284664987005,0.023697989182339042,0.015206112246814962,0.0029477831519152814,0.2282607955687258,0.22839171243847725,-4.43,1508.1666,1403.2966,1134.6876,463.2843,366.18,0.0,4875.615100000001,0.0,0.0,0.0,0.0,0.0,4875.615100000001,71.6,180.39,421.11,0.0,673.1,0,0
05/22/2018,0.03047424542396172,0.11959307084070665,0.030093260874720473,0.0117349752955782,0.02230263541605913,0.01058645842613381,0.0011414346574612868,0.22592608093462108,0.22605426576689444,-7.11,1410.0,1489.2085,1202.5824,469.6551,394.74,0.0,4966.186,0.0,0.0,0.0,0.0,0.0,4966.186,78.89,206.63,588.41,0.0,873.93,0,0
05/29/2018,0.03196542108422487,0.12636379332151523,0.031908157618075375,0.010646005777875037,0.021705704463766486,0.01287899320159457,0.0006503689635627157,0.23611844443061428,0.2362522844823836,-36.96,1518.5,1354.802,1247.6407,471.8479,361.76,0.0,4954.5506,0.0,0.0,0.0,0.0,0.0,4954.5506,59.26,222.82,270.54,47.29,599.91,0,0
06/05/2018,0.03156205995904758,0.13104678806938086,0.032353346850388265,0.010646831203582147,0.021472581569407814,0.013961437522491845,0.00010773519111334978,0.24115078036541188,0.24127617048542274,2.14,1504.5001,1363.677,1437.2147,492.9674,361.28,0.0,5159.639199999999,0.0,0.0,0.0,0.0,0.0,5159.639199999999,78.61,316.91,359.99,0.0,755.51,0,0
06/12/2018,0.03353354519064647,0.11380846583832209,0.028694528707461132,0.010044673349672541,0.020295964080517495,0.010596303839045368,0.0018488463779179536,0.21882232738358318,0.21897927422757046,-19.77,1484.5,1593.9612,1400.0393,512.7883,333.35,0.0,5324.638800000001,0.0,0.0,0.0,0.0,0.0,5324.638800000001,63.54,213.91,225.43,0.0,502.88,0,0
06/19/2018,0.029169646613720172,0.1278283745583728,0.030636723482372945,0.009890868583847226,0.004723858239708047,0.011443529922049916,0.002042335081959113,0.21573533648203022,0.21589790860715352,9.47,1533.1667,1479.1985,1570.6726,524.7578,376.33,0.0,5484.1256,0.0,0.0,0.0,0.0,0.0,5484.1256,85.39,227.57,534.57,0.0,847.53,0,0
