week_ending_date,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Sub Total COGS,Discounted Total COGS,Cash Over Under,Manager,InShop,Driver,Tax,DMR,Penalty Pay,Total,Vacation,Training Pay,Vacation Tax,Training Tax,Total Vacation/Training,Total Labor Cost,Manager Freebies,Employee Freebies,Promo,Waste,Total Freebies
04/06/2021,0.02934546582178107,0.1260901830066832,0.036315305208750794,0.010535822065420154,0.017383510352638337,0.013804780352815396,0.0010157190138423262,0,0.23449078582193125,0.23449078582193125,57.65,2274.9114,773.1918,1087.1673,473.4885,529.68,0.0,5138.439000000001,0.0,0.0,0.0,0.0,0.0,5138.439000000001,46.61,69.63,685.58,56.7,858.5200000000001
04/13/2021,0.033427818621828136,0.1334939771974028,0.03571842140972337,0.010384924396475058,0.01971996091206484,0.017500841991610346,0.0023997493061501,0,0.2526456938352547,0.252718910497024,73.85,2426.7431,954.0885,1145.7136,518.2894,555.1,0.0,5599.9346000000005,0.0,0.0,0.0,0.0,0.0,5599.9346000000005,25.01,60.94,469.69,0.0,555.64
04/20/2021,0.0299132858485098,0.1266587885467457,0.03574369613325425,0.009902622567257534,0.014896308782305535,0.016179768213939093,0.001981551168751749,0,0.2352760212607637,0.2353485935015913,-9.27,2233.9336,1009.9795,1333.381,524.1002,549.23,0.0,5650.6242999999995,0.0,0.0,0.0,0.0,0.0,5650.6242999999995,85.14,126.0,483.64,13.78,708.56
04/27/2021,0.031131650133033487,0.12859538340521337,0.03691792364198581,0.011760810974091143,0.020563958405768155,0.01720688864394619,0.004027001235398991,0,0.2502036164394371,0.2502775924268316,-93.12,2528.2067,1109.6839,1164.8141,549.9097,495.39,0.0,5848.004400000001,0.0,0.0,0.0,0.0,0.0,5848.004400000001,72.95,81.94,427.08,0.0,581.97
05/04/2021,0.02904075282023521,0.13299585353945695,0.03692995636447282,0.013323815150170046,0.01751838239539506,0.01753508925490732,0.0036063352115655615,0,0.25095018473620306,0.25101946947291415,6.59,2544.5832,1228.2854,1282.4403,578.8329,537.02,0.0,6171.1618,0.0,0.0,0.0,0.0,0.0,6171.1618,64.14,120.09,507.1,0.0,691.33
05/11/2021,0.029717478968993943,0.12940618896692646,0.03827244662209224,0.0119732714028499,0.018509618762206616,0.013415026907242783,0.003395506359984983,0,0.24468953799029694,0.24476481002342468,63.23,2353.5545,1310.3933,1292.6383,567.5291,505.91,0.0,6030.0252,0.0,0.0,0.0,0.0,0.0,6030.0252,43.24,89.02,651.46,25.91,809.63
05/18/2021,0.026111576009800505,0.13162695837221453,0.03856267326260603,0.012134064997377651,0.018295164069775025,0.018102506268834476,0.0026197111422268885,0,0.24745265412283518,0.24752563240547132,-47.8,2328.835,1360.5937,1581.0524,603.4701,503.06,0.0,6377.0112,0.0,0.0,0.0,0.0,0.0,6377.0112,33.98,111.38,702.86,0.0,848.22
05/25/2021,0.031291623875292905,0.132890924359206,0.038241899440817774,0.012824202582554976,0.018034038684962183,0.017741238027387102,0.002655310452391808,0,0.2536792374226128,0.2537494511625991,-23.34,2377.781,1495.8368,1231.5712,584.5441,492.91,0.0,6182.6431,0.0,0.0,0.0,0.0,0.0,6182.6431,20.32,71.67,700.73,0.0,792.72
06/01/2021,0.031849727858131525,0.12433823190281544,0.04123976585386266,0.011376994585691524,0.017617552116344633,0.015011756281467966,0.004575677882167111,0,0.24600970648048087,0.2460810287138558,18.63,2565.4195,1435.1206,1303.2741,607.2867,429.42,0.0,6340.5209,0.0,0.0,0.0,0.0,0.0,6340.5209,115.7,109.6,595.82,47.42,868.5400000000001
06/08/2021,0.029873558839088418,0.12896412113295241,0.03730825422107126,0.011837361995175915,0.019234869362117393,0.014964506906686683,0.003322757976635861,0,0.2455054304337279,0.24557704684477175,-13.17,2478.9788,1843.8568,1604.0775,678.6315,472.68,0.0,7078.224600000001,0.0,0.0,0.0,0.0,0.0,7078.224600000001,115.15,118.13,664.42,0.0,897.6999999999999
06/15/2021,0.029587126621311455,0.13194639795166935,0.035787035958667876,0.012116117166236944,0.02149384174889315,0.016888501970031167,0.0032043107757747996,0,0.25102333219258466,0.2510905228869423,10.36,2743.8582,1874.1605,1428.1813,692.2899,462.83,0.0,7201.3199,0.0,0.0,0.0,0.0,0.0,7201.3199,82.3,85.28,602.92,0.0,770.5
06/22/2021,0.030106091478887938,0.13011055453603929,0.04353839631282086,0.012367007788723919,0.021065430128915336,0.01738223399062425,0.003676503929058779,0,0.25824621816507043,0.25831751300774414,5.62,2541.318,1400.731,1396.4192,611.2546,499.09,0.0,6448.812800000001,0.0,0.0,0.0,0.0,0.0,6448.812800000001,27.91,37.83,466.44,6.89,539.0699999999999
06/29/2021,0.029872824646916322,0.1305305286077066,0.035270682864616945,0.012509299725810477,0.019300216157612862,0.01735882388665334,0.003974785360663814,0,0.24881716124998038,0.24888464021341353,65.98,2597.3256,1420.1894,1254.9197,603.6938,482.39,0.0,6358.5185,0.0,0.0,0.0,0.0,0.0,6358.5185,12.75,59.5,463.41,13.09,548.7500000000001
07/06/2021,0.029783209823068493,0.13193951097085124,0.03645843749627604,0.012025243657092045,0.021442606456038616,0.01640445497026272,0.002563426488897548,0,0.2506168898624867,0.2506168898624867,-17.67,2467.9481,1230.6273,1216.9347,562.8259,430.0,0.0,5908.336,0.0,0.0,0.0,0.0,0.0,5908.336,23.24,52.9,343.78,0.0,419.91999999999996
07/13/2021,0.028050336331414173,0.13451056698824135,0.03608577791870649,0.011565590036046604,0.02124702316824286,0.01589920784048793,0.0024293911032366665,0,0.2497878933863761,0.24988198526333028,-28.79,3058.46,1359.2353,779.8361,595.1173,427.65,0.0,6220.298699999999,0.0,0.0,0.0,0.0,0.0,6220.298699999999,99.2,99.49,515.77,0.0,714.46
07/20/2021,0.028239707343814924,0.13692897541602306,0.035495006629094966,0.012329049391888293,0.020597070063171376,0.018676155827286878,0.0019305146795572578,0,0.2541964793508368,0.2542876949676801,0.14,2447.5477,1563.0152,1049.8634,579.4188,413.61,0.0,6053.4551,0.0,0.0,0.0,0.0,0.0,6053.4551,30.72,70.6,362.15,12.58,476.04999999999995
07/27/2021,0.026585817687934995,0.13546952168651236,0.03590990621378348,0.01115218622224109,0.022416435854742543,0.014442438399593764,0.0026153831926322892,0,0.2485916892574405,0.24867576098575764,3.65,2144.4213,1814.3386,1030.0779,571.2219,520.21,0.0,6080.2697,0.0,0.0,0.0,0.0,0.0,6080.2697,48.43,42.8,472.71,0.0,563.9399999999999
08/03/2021,0.02754884281552489,0.13919147431805629,0.04049057164629564,0.012564341243774644,0.022051733306758057,0.024824607449039478,0.0025842340434488647,0,0.2692558048228979,0.269341716287697,64.32,2209.818,2131.1779,768.2229,585.0056,446.65,0.0,6140.874399999999,0.0,0.0,0.0,0.0,0.0,6140.874399999999,11.16,27.4,679.56,27.8,745.9199999999998
08/10/2021,0.029582626263471273,0.13689373769991237,0.03280556816209241,0.011514224704954749,0.019991149165424025,0.015827902297828916,0.002889433584232464,0,0.24950464187791613,0.2496092122297117,-42.07,2527.4979,1833.132,918.5676,604.4681,430.83,0.0,6314.4956,0.0,0.0,0.0,0.0,0.0,6314.4956,56.41,133.48,349.56,33.56,573.01
08/17/2021,0.02628953181091836,0.13409932584667547,0.0375953220930181,0.01413224117248675,0.020039860477263367,0.018122215189032943,0.002455635576527247,0,0.2527341321659222,0.2528447942349488,4.61,2318.1607,1807.1932,994.6547,586.241,416.36,0.0,6122.6096,0.0,0.0,0.0,0.0,0.0,6122.6096,54.0,53.54,367.68,15.77,490.99
08/24/2021,0.0291084934328649,0.1290408920725795,0.038759699920665476,0.00774382373818681,0.020188741921565535,0.01436157982397944,0.002794208116245945,0,0.24199743902608756,0.24211342516342443,-32.71,2754.692,1302.7198,1177.6783,599.4178,456.85,0.0,6291.3579,0.0,0.0,0.0,0.0,0.0,6291.3579,25.41,41.11,409.09,5.69,481.29999999999995
08/31/2021,0.02900506342124778,0.13968488339936902,0.03846870786090642,0.0124192042915493,0.021974215463380135,0.020130787510064443,0.0025034592295474774,0,0.26418632117606455,0.26430868515015277,87.91,2656.987,1602.3458,1061.5963,609.2464,459.37,0.0,6389.5455,0.0,0.0,0.0,0.0,0.0,6389.5455,77.13,67.24,248.97,39.45,432.79
09/07/2021,0.027404492454039205,0.13689986889412595,0.03480760860919635,0.012150502751257211,0.02355847438162623,0.01825528199381023,0.0026287532072679295,0,0.25570498229132316,0.25570498229132316,44.63,2287.7724,1414.7642,1090.0002,548.7455,446.36,0.0,5787.6422999999995,0.0,0.0,0.0,0.0,0.0,5787.6422999999995,50.21,103.27,445.4,6.89,605.77
09/14/2021,0.02821594878487174,0.13052880007108245,0.03860916100331535,0.012187528697319167,0.025307990177512618,0.017350330915767754,0.0005219697988792582,0,0.2527217294487484,0.25284582596406857,-20.32,2261.8454,1422.2076,1071.9115,544.5579,460.81,0.0,5761.3324,0.0,0.0,0.0,0.0,0.0,5761.3324,66.73,62.74,347.73,0.0,477.20000000000005
09/21/2021,0.029049888835425444,0.13900165035330375,0.03722989241871684,0.011715313812325847,0.027619004845212007,0.017696385488349696,0.002552352226860216,0,0.26486448798019374,0.26498587318935746,10.88,2030.301,1431.068,1015.9438,512.6523,430.42,0.0,5420.3850999999995,0.0,0.0,0.0,0.0,0.0,5420.3850999999995,25.5,99.5,338.53,24.35,487.88
09/28/2021,0.029647554016862337,0.15018605529849707,0.038910846594543996,0.0128873063057003,0.03224762433622387,0.017342123730590023,0.0028922486977321763,0,0.28411375898014984,0.28423302519713517,107.48,2578.4013,982.6768,1107.1741,534.5149,423.17,0.0,5625.9371,0.0,0.0,0.0,0.0,0.0,5625.9371,42.28,97.91,554.52,0.0,694.71
10/05/2021,0.031993995467589284,0.13248654285150635,0.03163800615925993,0.012548207288439153,0.027608249849555132,0.017101334911553894,0.002207370223686241,0,0.2555837067515899,0.2557218563100916,2.0,2183.75,907.3846,1132.3899,483.5936,407.46,0.0,5114.5781,0.0,0.0,0.0,0.0,0.0,5114.5781,32.68,62.41,337.1,0.0,432.19000000000005
10/12/2021,0.029348389395835884,0.14185764869165557,0.03671570408159236,0.013321653919505327,0.01050636403839548,0.01773796291543439,0.003231706474399725,0,0.25271942951681875,0.2528428209856313,267.21,2181.8543,960.3914,1085.3875,484.064,415.62,0.0,5127.3172,0.0,0.0,0.0,0.0,0.0,5127.3172,11.66,27.78,470.05,11.13,520.62
10/19/2021,0.028589259651760044,0.15802093374779563,0.04744732990353965,0.01174898657300318,0.029168412099912337,0.01511728062194332,0.0012529434667010889,0,0.2913451460646552,0.2914752727976831,-108.42,2393.9281,768.7324,1054.6032,482.8767,387.85,0.0,5087.9904,0.0,0.0,0.0,0.0,0.0,5087.9904,56.43,52.87,330.35,0.0,439.65000000000003
10/26/2021,0.028731548705942685,0.1327004296799415,0.03696029649788521,0.01218979283271387,0.03417177498772036,0.019820565771664182,0.0057701373160872396,0,0.27034454579195505,0.27046458153379754,36.72,2577.4882,873.6145,1035.4926,513.7152,379.13,0.0,5379.4405,0.0,0.0,0.0,0.0,0.0,5379.4405,75.43,31.71,324.4,0.0,431.53999999999996
11/02/2021,0.02916147301168591,0.12832500815290557,0.03534017126528444,0.011271057365962872,0.03153739767522028,0.016986649907772683,0.0028193755416966206,0,0.2554411329205285,0.2555703390316675,-52.8,2107.261,910.3584,1069.3648,467.9597,400.18,0.0,4955.1239000000005,0.0,0.0,0.0,0.0,0.0,4955.1239000000005,71.46,58.09,427.35,47.23,604.1300000000001
11/09/2021,0.030541962291199033,0.14527059850663018,0.03239224266855651,0.01176918247297949,0.029076568213480217,0.01782159323321845,0.002792924951563835,0,0.26966507233762765,0.26988064358796787,23.29,2438.2319,1065.9779,1045.3561,520.9253,405.04,0.0,5475.5312,0.0,0.0,0.0,0.0,0.0,5475.5312,93.3,72.37,332.18,0.0,497.85
11/16/2021,0.0293115550110798,0.12466001507043768,0.03656148690735823,0.013326371619572874,0.03073430946012467,0.020396276040712487,0.0029900003026832067,0,0.2579800144119689,0.2581924236800225,2.14,2399.9427,1048.9562,987.0073,507.9113,431.99,0.0,5375.8075,0.0,0.0,0.0,0.0,0.0,5375.8075,58.79,95.26,253.08,0.0,407.13
11/23/2021,0.030803791279134157,0.1563215123124188,0.036600357249900135,0.013416213980407423,0.030823553927885498,0.016066923204918985,0.0021503494025801135,0,0.286182701357245,0.286392663096967,38.75,2439.9374,1161.0863,1021.1148,529.2349,356.45,0.0,5507.8234,0.0,0.0,0.0,0.0,0.0,5507.8234,70.36,89.81,450.08,5.69,615.94
11/30/2021,0.03191564284489608,0.13639010717898983,0.03578858162238286,0.012693708126049513,0.034600149990380205,0.017827744032123605,0.0019008663056950537,0,0.27111680010051725,0.2713785634167444,3.07,2135.7356,833.5168,724.9322,422.9841,269.69,0.0,4386.858699999999,0.0,0.0,0.0,0.0,0.0,4386.858699999999,57.32,51.47,552.7,0.0,661.49
12/07/2021,0.02932548547597742,0.14166623182586252,0.03889748492155539,0.013130155666213474,0.027795066663133583,0.019276148030680732,0.002741973620110844,0,0.27283254620353403,0.2730618567838223,-7.34,2921.8186,686.4983,1005.1288,528.2395,389.25,0.0,5530.9352,0.0,0.0,0.0,0.0,0.0,5530.9352,81.9,30.31,543.08,6.38,661.6700000000001
12/14/2021,0.02988908309883034,0.12365457569766654,0.038664918946908045,0.013515212951794812,0.02130208346592277,0.017069451749238698,0.002532357339277411,0,0.2466276832496386,0.24685679780335146,-50.55,2793.1617,660.4201,974.7764,507.047,408.94,0.0,5344.345199999999,0.0,0.0,0.0,0.0,0.0,5344.345199999999,96.98,39.89,339.16,0.0,476.03000000000003
12/21/2021,0.029935026846099357,0.13546550646241817,0.038319741572572084,0.013179130579407481,0.019523413055713264,0.018594746411156417,0.002685832575577203,0,0.257703397502944,0.257926145630746,1.33,2806.3819,798.4684,1042.2853,532.097,391.73,0.0,5570.962599999999,0.0,0.0,0.0,0.0,0.0,5570.962599999999,29.6,24.83,517.93,6.89,579.2499999999999
12/28/2021,0.03187680710876353,0.14166643282576089,0.03744466911511849,0.01272395768855142,0.01902753132780368,0.019866923891662887,0.0041833519030523144,0,0.2667896738607131,0.2670991691770173,-1.48,2322.2787,719.8613,764.7467,435.8885,277.01,0.0,4519.7852,0.0,0.0,0.0,0.0,0.0,4519.7852,33.58,18.09,280.38,0.0,332.05
