week_ending_date,Invoice #,Invoice Date,Due Date,Vendor Name,Description,Bread 4311,Food 4312,Sides 4313,Paper 4314,Produce 4315,Beverage 4316,Catering 4320,Operating Supplies 5220,Office Supplies 5230,Smallwares-KEC 5220,Uniforms-KC 5221,Aprons-Floor Mats 5285,Trash Service 5286,Pest Control 5241,Fuel Surcharge,Misc Monthly Audit Item,Discounts,Delivery Charges,Tax,Invoice Totals
05/04/2021,496087051 (5922213),04/29/2021,0,Sysco Food Services,0,680.55,2809.97,630.51,289.97,0,190.8,137.88,202.81,0,0,0,0,0,0,1.5,0,0,0,21.18,4965.17
05/04/2021,496087050 (5922225),04/29/2021,0,Sysco Food Services,0,0.0,0.0,257.7,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,257.7
05/11/2021,496105656 (5931489),05/06/2021,0,Sysco Food Services,0,569.94,2822.6,716.95,212.55,0,211.79,105.35,76.42,0,0,0,0,0,0,1.5,0,0,0,6.31,4723.41
05/18/2021,496120548 (5948418),05/13/2021,0,Sysco Food Services,0,593.37,2453.42,710.79,232.46,0,440.25,29.29,240.85,0,0,0,0,0,0,1.5,0,0,0,19.88,4721.81
05/25/2021,496135356 (5961844),05/20/2021,0,Sysco Food Services,0,549.78,2987.13,821.72,272.38,0,301.44,29.29,235.45,0,0,0,0,0,0,1.5,0,0,0,19.43,5218.12
05/25/2021,Transfer IN - 612584,05/24/2021,05/24/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,0.0,3.27,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,3.27
06/01/2021,496149229 (5966880),05/27/2021,0,Sysco Food Services,0,724.14,3069.55,921.04,267.59,0,424.29,66.75,189.37,0,0,0,0,0,0,1.5,0,0,0,20.06,5684.29
06/08/2021,496166541 (5980711),06/03/2021,0,Sysco Food Services,0,613.53,2298.76,856.69,341.14,0,163.09,66.75,225.73,0,0,0,0,0,0,1.5,0,0,0,18.63,4585.82
06/15/2021,496180829 (5993570),06/10/2021,0,Sysco Food Services,0,599.0,3073.79,737.16,202.91,0,401.3,105.47,76.42,0,0,0,0,0,0,1.5,0,0,0,6.3,5203.85
06/22/2021,496195397 (6005139),06/17/2021,0,Sysco Food Services,0,0.0,0.0,79.24,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.5,0,0,0,0.0,80.74
06/22/2021,496195396 (6005368),06/17/2021,0,Sysco Food Services,0,695.08,2647.59,829.75,315.77,0,424.29,29.29,241.4,0,0,0,0,0,0,0.0,0,0,0,24.35,5207.52
06/29/2021,496211043 (6008427),06/24/2021,0,Sysco Food Services,0,636.96,2758.02,720.19,252.98,0,313.65,76.18,120.7,0,0,0,0,0,0,1.5,0,0,0,9.96,4890.14
06/29/2021,496211042 (6014817),06/24/2021,0,Sysco Food Services,0,0.0,440.68,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,440.68
07/06/2021,496229227 (6020641),07/01/2021,0,Sysco Food Services,0,657.12,2965.86,921.66,261.98,0,390.84,103.27,369.77,0,0,0,0,0,0,0.0,0,0,0,30.51,5701.01
07/13/2021,496243391 (6032294),07/08/2021,0,Sysco Food Services,0,578.84,2523.28,591.86,276.16,0,353.48,29.29,89.09,0,0,0,0,0,0,2.0,0,0,0,11.81,4455.81
07/13/2021,Transfer IN - 623469,07/13/2021,07/13/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,13.455,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,13.455
07/20/2021,496257548 (6048741),07/15/2021,0,Sysco Food Services,0,584.47,2634.74,781.64,188.81,0,366.1,66.75,219.57,0,0,0,0,0,0,2.0,0,0,0,18.12,4862.2
07/27/2021,496272152 (6053492),07/22/2021,0,Sysco Food Services,0,599.0,3052.95,872.19,248.09,0,301.44,29.29,275.8,0,0,0,0,0,0,2.0,0,0,0,46.95,5427.71
08/03/2021,496287067 (6070770),07/29/2021,0,Sysco Food Services,0,628.06,3148.5,760.11,413.26,0,351.89,66.75,171.19,0,0,0,0,0,0,2.0,0,0,0,18.57,5560.33
08/03/2021,Transfer OUT - 629344,08/03/2021,08/03/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-20.1384,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-20.1384
08/03/2021,Transfer IN - 629345,08/02/2021,08/02/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,0.0,0.0,0,261.2,104.19,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,365.39
08/10/2021,496306443 (6081940),08/05/2021,0,Sysco Food Services,0,651.49,3476.52,773.86,276.05,0,476.74,29.29,152.84,0,0,0,0,0,0,2.5,0,0,0,12.61,5851.9
08/31/2021,496358682 (6107955),08/26/2021,0,Sysco Food Services,0,584.47,2856.23,571.41,164.37,0,232.75,66.75,159.21,0,0,0,0,0,0,2.5,0,0,0,12.45,4650.14
08/31/2021,Transfer IN - 638104,08/31/2021,08/31/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,55.1808,0.0,0,0.0,39.43,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,94.6108
09/07/2021,496379973 (6118983),09/02/2021,0,Sysco Food Services,0,599.0,2539.45,885.84,270.92,0,343.39,29.29,226.29,0,0,0,0,0,0,0.0,0,0,0,18.67,4912.85
09/07/2021,496389187 (6126336),09/06/2021,0,Sysco Food Services,0,0.0,0.0,0.0,0.0,0,182.8,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,182.8
09/14/2021,496397097 (6130060),09/09/2021,0,Sysco Food Services,0,599.0,3047.76,1027.1,347.34,0,522.44,29.29,119.09,0,0,0,0,0,0,2.5,0,0,0,14.27,5708.79
09/21/2021,496414949 (6146013),09/16/2021,0,Sysco Food Services,0,555.41,2731.43,694.67,177.58,0,234.5,37.2,103.42,0,0,0,0,0,0,2.5,0,0,0,8.54,4545.25
09/28/2021,496434135 (6151465),09/23/2021,0,Sysco Food Services,0,0.0,594.9,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,594.9
09/28/2021,496434136 (6151471),09/23/2021,0,Sysco Food Services,0,569.94,1978.21,259.06,272.91,0,309.37,29.29,137.17,0,0,0,0,0,0,2.5,0,0,0,11.32,3569.77
09/28/2021,Transfer IN - 646555,09/27/2021,09/27/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,29.808,54.6192,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,84.4272
10/05/2021,496452680 (6168445),09/30/2021,0,Sysco Food Services,0,599.0,2466.42,984.69,353.61,0,394.55,109.34,76.42,0,0,0,0,0,0,2.5,0,0,0,10.74,4997.27
10/05/2021,Transfer IN - 649277,10/01/2021,10/01/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,426.3786,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,426.3786
10/05/2021,Transfer IN - 649284,09/30/2021,09/30/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,1.1379,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.1379
10/05/2021,Transfer IN - 649289,09/30/2021,09/30/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,81.9288,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,81.9288
10/12/2021,496486105 (6179172),10/12/2021,0,Sysco Food Services,0,0.0,0.0,436.96,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,436.96
10/12/2021,496474412 (6179295),10/07/2021,0,Sysco Food Services,0,593.37,2086.79,265.5,230.81,0,320.4,0.0,146.09,0,0,0,0,0,0,2.5,0,0,0,12.07,3657.53
10/12/2021,Transfer OUT - 651074,10/12/2021,10/12/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,0.0,-218.4768,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-218.4768
10/12/2021,Transfer IN - 651086,10/12/2021,10/12/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,81.9288,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,81.9288
10/12/2021,Transfer IN - 651095,10/09/2021,10/09/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,875.3838,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,875.3838
10/12/2021,Transfer OUT - 651287,10/12/2021,10/12/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,-64.0752,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-64.0752
10/19/2021,496492073 (6191251),10/14/2021,0,Sysco Food Services,0,540.88,2235.02,757.08,176.06,0,331.64,40.99,69.67,0,0,0,0,0,0,2.5,0,0,0,5.75,4159.59
10/19/2021,496495174 (6191559),10/15/2021,0,Sysco Food Services,0,0.0,2194.77,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,2194.77
10/19/2021,496504781 (6191562),10/19/2021,0,Sysco Food Services,0,0.0,0.0,327.72,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,327.72
10/19/2021,Transfer IN - 653327,10/18/2021,10/18/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,0.0,64.0752,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,64.0752
10/19/2021,Transfer IN - 653328,10/18/2021,10/18/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,0.0,32.0376,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,32.0376
10/19/2021,Transfer OUT - 653329,10/18/2021,10/18/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,-561.8613,-81.9288,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-643.7901
10/19/2021,Transfer OUT - 653330,10/18/2021,10/18/2021,"1393 - E Beltline Rd, Richardson, TX  ",0,0.0,-540.3983,-81.9288,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-622.3271
10/19/2021,Transfer OUT - 653331,10/18/2021,10/18/2021,"3644 - Forest Drive, Dallas, TX",0,0.0,-267.6734,-81.9288,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-349.6022
10/26/2021,496511130 (6196172),10/21/2021,0,Sysco Food Services,0,628.06,2400.2,1009.56,204.2,0,389.09,74.6,15.67,0,0,0,0,0,0,2.5,0,0,0,1.29,4725.17
11/02/2021,496529850 (6213641),10/28/2021,0,Sysco Food Services,0,540.88,1509.04,402.05,233.58,0,401.3,137.02,164.17,0,0,0,0,0,0,2.5,0,0,0,17.99,3408.53
11/02/2021,496537665 (6213726),10/30/2021,0,Sysco Food Services,0,0.0,1133.28,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1133.28
11/02/2021,496532425 (6213728),10/29/2021,0,Sysco Food Services,0,0.0,3253.51,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,3253.51
11/02/2021,Transfer OUT - 657377,10/30/2021,10/30/2021,"1367 - Preston Rd, Dallas, TX ",0,0.0,-811.3205,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,-811.3205
