week_ending_date,payment_type,prcnt_of_royalty_sales,fee_or_payment,amount
06/01/2021,Media,3,Payment,604.8831
06/08/2021,Royalty,6,Payment,1202.8332
06/08/2021,Advertising,1.5,Payment,300.7083
06/08/2021,Media,3,Payment,601.4166
06/15/2021,Royalty,6,Payment,1293.2412
06/15/2021,Advertising,1.5,Payment,323.3103
06/15/2021,Media,3,Payment,646.6206
06/22/2021,Royalty,6,Payment,1230.0192
06/22/2021,Advertising,1.5,Payment,307.5048
06/22/2021,Media,3,Payment,615.0096
06/29/2021,Royalty,6,Payment,1300.824
06/29/2021,Advertising,1.5,Payment,325.206
06/29/2021,Media,3,Payment,650.412
07/06/2021,Royalty,6,Payment,1132.8462
07/06/2021,Advertising,1.5,Payment,283.21155
07/06/2021,Media,3,Payment,566.4231
07/13/2021,Royalty,6,Payment,1232.4816
07/13/2021,Advertising,1.5,Payment,308.1204
07/13/2021,Media,3,Payment,616.2408
07/20/2021,Royalty,6,Payment,1287.0012
07/20/2021,Advertising,1.5,Payment,321.7503
07/20/2021,Media,3,Payment,643.5006
07/27/2021,Royalty,6,Payment,1393.5162
07/27/2021,Advertising,1.5,Payment,348.37905
07/27/2021,Media,3,Payment,696.7581
08/03/2021,Royalty,6,Payment,1352.0316
08/03/2021,Advertising,1.5,Payment,338.0079
08/03/2021,Media,3,Payment,676.0158
08/10/2021,Royalty,6,Payment,1400.0604
08/10/2021,Advertising,1.5,Payment,350.0151
08/10/2021,Media,3,Payment,700.0302
08/31/2021,Royalty,6,Payment,1199.8836
08/31/2021,Advertising,1.5,Payment,299.9709
08/31/2021,Media,3,Payment,599.9418
09/07/2021,Royalty,6,Payment,1306.3854
09/07/2021,Advertising,1.5,Payment,326.59635
09/07/2021,Media,3,Payment,653.1927
09/14/2021,Royalty,6,Payment,1180.1046
09/14/2021,Advertising,1.5,Payment,295.02615
09/14/2021,Media,3,Payment,590.0523
09/21/2021,Royalty,6,Payment,1206.4626
09/21/2021,Advertising,1.5,Payment,301.61565
09/21/2021,Media,3,Payment,603.2313
09/28/2021,Royalty,6,Payment,1216.008
09/28/2021,Advertising,1.5,Payment,304.002
09/28/2021,Media,3,Payment,608.004
10/05/2021,Royalty,6,Payment,1059.8484
10/05/2021,Advertising,1.5,Payment,264.9621
10/05/2021,Media,3,Payment,529.9242
10/12/2021,Royalty,6,Payment,1184.406
10/12/2021,Advertising,1.5,Payment,296.1015
10/12/2021,Media,3,Payment,592.203
10/19/2021,Royalty,6,Payment,1126.3434
10/19/2021,Advertising,1.5,Payment,281.58585
10/19/2021,Media,3,Payment,563.1717
10/26/2021,Royalty,6,Payment,1223.7354
10/26/2021,Advertising,1.5,Payment,305.93385
10/26/2021,Media,3,Payment,611.8677
11/02/2021,Royalty,6,Payment,1124.688
11/02/2021,Advertising,1.5,Payment,281.172
11/02/2021,Media,3,Payment,562.344
11/09/2021,Royalty,6,Payment,1083.45
11/09/2021,Advertising,1.5,Payment,270.8625
11/09/2021,Media,3,Payment,541.725
11/16/2021,Royalty,6,Payment,1105.4664
11/16/2021,Advertising,1.5,Payment,276.3666
11/16/2021,Media,3,Payment,552.7332
11/23/2021,Royalty,6,Payment,1106.109
11/23/2021,Advertising,1.5,Payment,276.52725
11/23/2021,Media,3,Payment,553.0545
11/30/2021,Royalty,6,Payment,877.1694
11/30/2021,Advertising,1.5,Payment,219.29235
11/30/2021,Media,3,Payment,438.5847
12/07/2021,Royalty,6,Payment,1137.7422
12/07/2021,Advertising,1.5,Payment,284.43555
12/07/2021,Media,3,Payment,568.8711
12/14/2021,Royalty,6,Payment,1149.888
12/14/2021,Advertising,1.5,Payment,287.472
12/14/2021,Media,3,Payment,574.944
12/21/2021,Royalty,6,Payment,1177.3764
12/21/2021,Advertising,1.5,Payment,294.3441
12/21/2021,Media,3,Payment,588.6882
12/28/2021,Royalty,6,Payment,852.465
12/28/2021,Advertising,1.5,Payment,213.11625
12/28/2021,Media,3,Payment,426.2325
