week_ending_date,Manager_usd,InShop_usd,Driver_usd,Tip Credit_usd,TAX_usd,DMR_usd,Manager_prcnt_as_dec,InShop_prcnt_as_dec,Driver_prcnt_as_dec,Tip Credit_prcnt_as_dec,TAX_prcnt_as_dec,DMR_prcnt_as_dec,PenaltyPay_usd,PenaltyPay_prcnt_as_dec
03/17/2015,1465.3992,891.3627999999999,1239.7512,0,411.80076139999994,385.51,0.11167694602176384,0.06793007345807767,0.09448048548328464,0,0.03138301931827794,0.029379420611701013,0,0
03/24/2015,1503.9999,1055.0087,1181.6221,0,428.30221514999994,363.51,0.10178901653124124,0.07140179863369894,0.07997085070988369,0,0.028987010742667327,0.024601946715070596,0,0
03/31/2015,1474.946,1126.6813,1252.7262,0,441.32347574999994,406.19,0.09491971107312754,0.07250723990403427,0.08061882194855743,0,0.02840124099999485,0.02614023661937025,0,0
04/07/2015,1342.3408,1108.6559,1132.8066999999999,0,410.3454893,350.54,0.09632450965547973,0.07955560610550955,0.08128863393852151,0,0.029445821840593987,0.025154263071368962,0,0
04/14/2015,1464.1667,1099.0351000000003,1249.2495999999999,0,436.52568529999996,387.97,0.10404896993298701,0.07810140066373412,0.0887761851633397,0,0.031021090634526963,0.027570548397870938,0,0
04/21/2015,1317.5131000000001,1102.0479,1266.4696,0,422.0505036999999,372.39,0.09455546098109915,0.07909192493626989,0.09089216406770319,0,0.030289778473290764,0.026725736628160666,0,0
04/28/2015,1345.3522,1157.1817,1282.3809,0,433.3727446,393.36,0.09300149592974384,0.07999364713754811,0.0886484164159625,0,0.02995818756083263,0.027192186877848076,0,0
05/05/2015,1468.3334,921.7444,1270.8276999999998,0,419.17367974999996,385.53,0.09626256931232471,0.06042870385788892,0.08331427968285145,0,0.02748063580167595,0.02527498751099753,0,0
05/12/2015,1469.6655,933.8824,1292.7929,0,423.23102159999996,340.55,0.11034286902698985,0.07011613414740357,0.0970632280908291,0,0.031776295479867975,0.025568582815029266,0,0
05/19/2015,1345.2516,1207.5821,1355.5086,0,447.50519335,437.13,0.08115365032636368,0.07284859983350024,0.08177241412593657,0,0.026996199060724157,0.02637030512891667,0,0
05/26/2015,1466.9509,1214.4188000000001,1275.9465,0,453.1127049,375.51,0.10058714827604177,0.08327131051544584,0.08749019465327472,0,0.031069420819425285,0.02574829194974177,0,0
06/02/2015,1482.5768,1259.3793999999998,1333.5345999999997,0,466.6436966,444.72,0.09090616333320457,0.07722051865028047,0.08176744311531085,0,0.02861287732381213,0.027268596781996546,0,0
06/09/2015,1500.0578,1178.3601999999998,1366.1686,0,463.10516569999993,485.58,0.08328597135184024,0.06542472820670558,0.07585219641628722,0,0.02571245158911838,0.02696029577595382,0,0
06/16/2015,1582.9807,1279.0261,1231.493,0,468.70572709999993,379.41,0.10707224522345771,0.08651286539779211,0.08329774360923768,0,0.03170308680939082,0.025663155943867217,0,0
06/23/2015,1559.2317,1294.5509,1358.5052999999998,0,482.30696455,397.82,0.10657216029789293,0.08848145277483876,0.09285268161052466,0,0.03296527074123285,0.02719065858506325,0,0
06/30/2015,1535.2736,1212.4170999999997,1204.3368,0,452.50714874999994,387.25,0.0994128628327552,0.07850708489899573,0.07798386496246619,0,0.02930098655348786,0.025075420519172904,0,0
07/07/2015,1523.9725,1095.3408,1208.2478,0,438.25574595,312.7,0.10397744794893278,0.07473280588615765,0.08243621373345815,0,0.02990127053659881,0.021334865277182678,0,0
07/14/2015,1510.3333,1050.337,1293.3115,0,441.2809161,369.29,0.10199097140155991,0.07092798055171017,0.08733575311476517,0,0.029799163730290037,0.024937704696626938,0,0
07/21/2015,1453.5142,1052.0334,1304.8432,0,436.2897466,400.31,0.09616280100614352,0.06960130041799151,0.08632690137173722,0,0.02886441982012737,0.026484041828259614,0,0
07/28/2015,1475.9334,1040.9184,1272.9432,0,433.93152749999996,357.49,0.10168640317033378,0.07171546364478151,0.08770112218351779,0,0.029896292240343486,0.024629751091317962,0,0
