week_ending_date,Category,Beginning Inventory USD,Purchases USD,Ending Inventory USD,COGS Prcnt as Decimal
02/11/2020,Sub Total COGS,4220.0788,2989.6336,4836.587100000001,0.19633245031140176
02/11/2020,Discounted COGS,0.0,0.0,0.0,0.19645654770965837
02/18/2020,Bread 4311,458.2362,368.99,378.7659,0.035173301688938535
02/18/2020,Food 4312,1992.6746,1721.3082000000002,1945.2218999999998,0.1387261274884275
02/18/2020,Sides 4313,503.4774000000001,358.97,434.87019999999995,0.0335354140620956
02/18/2020,Paper 4314,533.5328999999999,128.13,376.6597,0.022353157093086908
02/18/2020,Produce 4315,116.06580000000001,228.02,88.3975,0.02005395285654454
02/18/2020,Beverage 4316,512.2021,214.02999999999997,557.7353999999999,0.013215406720930635
02/18/2020,Catering 4320,75.8904,0.0,70.83670000000001,0.0003963680056972453
02/18/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
02/18/2020,Sub Total COGS,4192.0794000000005,3019.4482000000007,3852.4873,0.26345372791572097
02/18/2020,Discounted COGS,0.0,0.0,0.0,0.2635713747900004
02/25/2020,Bread 4311,378.7659,382.14,235.1105,0.03964685487902627
02/25/2020,Food 4312,1945.2218999999998,1902.1056,2036.793,0.13652078084930067
02/25/2020,Sides 4313,434.87019999999995,376.89,409.48949999999996,0.030332650428254625
02/25/2020,Paper 4314,376.6597,97.67,422.40360000000004,0.003915413773368509
02/25/2020,Produce 4315,88.3975,562.77,269.5938,0.028772022557734638
02/25/2020,Beverage 4316,557.7353999999999,217.54999999999998,450.01779999999997,0.024526341109201717
02/25/2020,Catering 4320,70.83670000000001,35.32,87.8783,0.001378256774823047
02/25/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
02/25/2020,Sub Total COGS,3852.4873,3574.4456000000005,3911.2865,0.2650923203717095
02/25/2020,Discounted COGS,0.0,0.0,0.0,0.26520542573991646
03/03/2020,Bread 4311,235.1105,476.53999999999996,271.3144,0.03427484255336373
03/03/2020,Food 4312,2036.793,1686.8772,1916.2439,0.14068628908533445
03/03/2020,Sides 4313,409.48949999999996,463.33,425.84029999999996,0.03479192758583381
03/03/2020,Paper 4314,422.40360000000004,146.04,388.8717,0.013977501729947599
03/03/2020,Produce 4315,269.5938,248.4998,265.6117,0.019652663885777532
03/03/2020,Beverage 4316,450.01779999999997,280.84000000000003,569.1315000000001,0.012588437489540525
03/03/2020,Catering 4320,87.8783,78.8,145.5935,0.0016411968045980392
03/03/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
03/03/2020,Sub Total COGS,3911.2865,3380.927,3982.6069999999995,0.25761285913439574
03/03/2020,Discounted COGS,0.0,0.0,0.0,0.2577296160022293
03/10/2020,Bread 4311,271.3144,494.7,322.7693,0.033765472679945494
03/10/2020,Food 4312,1916.2439,1692.0525000000005,2008.7775,0.12184796113709204
03/10/2020,Sides 4313,425.84029999999996,446.19,401.3713,0.03585380550415664
03/10/2020,Paper 4314,388.8717,49.25,241.24110000000002,0.014997947006094992
03/10/2020,Produce 4315,265.6117,188.8398,145.8897,0.023505584219599505
03/10/2020,Beverage 4316,569.1315000000001,288.96,533.3448999999999,0.024738507995249556
03/10/2020,Catering 4320,145.5935,0.0,117.6865,0.002125896137552878
03/10/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
03/10/2020,Sub Total COGS,3982.6069999999995,3159.992300000001,3771.0803,0.2568351746796911
03/10/2020,Discounted COGS,0.0,0.0,0.0,0.2569113525611385
03/17/2020,Bread 4311,322.7693,454.08,376.40669999999994,0.03807744569739258
03/17/2020,Food 4312,2008.7775,1745.0926,2478.702500000001,0.1212536454514939
03/17/2020,Sides 4313,401.3713,582.88,655.3757,0.03127225425116459
03/17/2020,Paper 4314,241.24110000000002,116.03999999999999,293.9818,0.0060190290903938855
03/17/2020,Produce 4315,145.8897,222.38,206.37890000000002,0.01539393697350742
03/17/2020,Beverage 4316,533.3448999999999,133.28,542.3377,0.011818270855500803
03/17/2020,Catering 4320,117.6865,35.32,166.988,-0.0013294784496407095
03/17/2020,Operating Supplies 5220,0.0,0.0,0.0,0.0
